Date,PENTA.IS
2022-03-16,315.0
2022-03-17,346.5
2022-03-18,381.1000061035156
2022-03-21,419.20001220703125
2022-03-22,443.0
2022-03-23,422.8999938964844
2022-03-24,401.0
2022-03-25,386.5
2022-03-28,367.0
2022-03-29,356.0
2022-03-30,340.79998779296875
2022-03-31,374.79998779296875
2022-04-01,340.0
2022-04-04,331.79998779296875
2022-04-05,332.0
2022-04-06,323.70001220703125
2022-04-07,329.8999938964844
2022-04-08,322.20001220703125
2022-04-11,327.20001220703125
2022-04-12,326.5
2022-04-13,332.0
2022-04-14,334.20001220703125
2022-04-15,334.20001220703125
2022-04-18,327.8999938964844
2022-04-19,327.5
2022-04-20,324.5
2022-04-21,334.29998779296875
2022-04-22,329.5
2022-04-25,329.0
2022-04-26,328.70001220703125
2022-04-27,326.0
2022-04-28,330.8999938964844
2022-04-29,326.0
2022-05-05,329.0
2022-05-06,327.20001220703125
2022-05-09,326.5
2022-05-10,325.70001220703125
2022-05-11,323.20001220703125
2022-05-12,327.6000061035156
2022-05-13,324.79998779296875
2022-05-16,341.0
2022-05-17,358.3999938964844
2022-05-18,364.0
2022-05-20,340.0
2022-05-23,340.0
2022-05-24,351.20001220703125
2022-05-25,375.8999938964844
2022-05-26,405.0
2022-05-27,410.0
2022-05-30,447.6000061035156
2022-05-31,451.5
2022-06-01,496.6000061035156
2022-06-02,513.0
2022-06-03,464.29998779296875
2022-06-06,472.0
2022-06-07,455.20001220703125
2022-06-08,439.6000061035156
2022-06-09,402.0
2022-06-10,391.5
2022-06-13,430.6000061035156
2022-06-14,473.6000061035156
2022-06-15,455.0
2022-06-16,426.0
2022-06-17,439.1000061035156
2022-06-20,428.0
2022-06-21,414.0
2022-06-22,414.0
2022-06-23,406.0
2022-06-24,409.79998779296875
2022-06-27,410.1000061035156
2022-06-28,403.20001220703125
2022-06-29,398.0
2022-06-30,400.5
2022-07-01,398.6000061035156
2022-07-04,389.29998779296875
2022-07-05,382.8999938964844
2022-07-06,407.29998779296875
2022-07-07,398.6000061035156
2022-07-08,401.1000061035156
2022-07-13,401.0
2022-07-14,396.79998779296875
2022-07-18,426.0
2022-07-19,409.5
2022-07-20,404.0
2022-07-21,403.8999938964844
2022-07-22,402.29998779296875
2022-07-25,403.0
2022-07-26,404.20001220703125
2022-07-27,404.0
2022-07-28,405.3999938964844
2022-07-29,403.0
