Date,TIRE.IS
2020-01-02,4.190000057220459
2020-01-03,4.429999828338623
2020-01-06,4.71999979019165
2020-01-07,5.019999980926514
2020-01-08,5.53000020980835
2020-01-09,5.690000057220459
2020-01-10,5.949999809265137
2020-01-13,6.96999979019165
2020-01-14,6.800000190734863
2020-01-15,6.690000057220459
2020-01-16,6.369999885559082
2020-01-17,6.130000114440918
2020-01-20,6.840000152587891
2020-01-21,7.099999904632568
2020-01-22,7.119999885559082
2020-01-23,8.09000015258789
2020-01-24,8.800000190734863
2020-01-27,9.710000038146973
2020-01-28,9.5
2020-01-29,9.100000381469727
2020-01-30,7.460000038146973
2020-01-31,8.279999732971191
2020-02-03,8.75
2020-02-04,9.229999542236328
2020-02-05,8.84000015258789
2020-02-06,8.479999542236328
2020-02-07,8.529999732971191
2020-02-10,8.319999694824219
2020-02-11,8.359999656677246
2020-02-12,8.140000343322754
2020-02-13,7.920000076293945
2020-02-14,8.350000381469727
2020-02-17,8.0600004196167
2020-02-18,7.880000114440918
2020-02-19,7.449999809265137
2020-02-20,6.400000095367432
2020-02-21,6.900000095367432
2020-02-24,6.920000076293945
2020-02-25,6.96999979019165
2020-02-26,6.800000190734863
2020-02-27,6.380000114440918
2020-02-28,6.03000020980835
2020-03-02,6.929999828338623
2020-03-03,7.25
2020-03-04,6.920000076293945
2020-03-05,6.949999809265137
2020-03-06,6.670000076293945
2020-03-09,5.760000228881836
2020-03-10,5.400000095367432
2020-03-11,5.400000095367432
2020-03-12,4.079999923706055
2020-03-13,4.360000133514404
2020-03-16,3.9000000953674316
2020-03-17,3.509999990463257
2020-03-18,3.2699999809265137
2020-03-19,2.950000047683716
2020-03-20,3.240000009536743
2020-03-23,3.559999942779541
2020-03-24,3.9100000858306885
2020-03-25,4.300000190734863
2020-03-26,4.730000019073486
2020-03-27,5.199999809265137
2020-03-30,5.71999979019165
2020-03-31,6.289999961853027
2020-04-01,6.159999847412109
2020-04-02,6.230000019073486
2020-04-03,6.699999809265137
2020-04-06,7.369999885559082
2020-04-07,7.400000095367432
2020-04-08,7.519999980926514
2020-04-09,7.329999923706055
2020-04-10,6.920000076293945
2020-04-13,6.989999771118164
2020-04-14,6.800000190734863
2020-04-15,6.289999961853027
2020-04-16,6.909999847412109
2020-04-17,6.940000057220459
2020-04-20,7.070000171661377
2020-04-21,7.480000019073486
2020-04-22,7.739999771118164
2020-04-24,7.590000152587891
2020-04-27,7.489999771118164
2020-04-28,7.269999980926514
2020-04-29,7.28000020980835
2020-04-30,7.119999885559082
2020-05-04,6.75
2020-05-05,6.769999980926514
2020-05-06,6.909999847412109
2020-05-07,6.940000057220459
2020-05-08,6.670000076293945
2020-05-11,6.679999828338623
2020-05-12,6.699999809265137
2020-05-13,6.820000171661377
2020-05-14,6.900000095367432
2020-05-15,7.019999980926514
2020-05-18,7.070000171661377
2020-05-20,6.920000076293945
2020-05-21,6.869999885559082
2020-05-22,6.889999866485596
2020-05-27,6.940000057220459
2020-05-28,6.769999980926514
2020-05-29,6.849999904632568
2020-06-01,7.03000020980835
2020-06-02,6.989999771118164
2020-06-03,6.980000019073486
2020-06-04,6.880000114440918
2020-06-05,6.860000133514404
2020-06-08,6.880000114440918
2020-06-09,6.849999904632568
2020-06-10,6.860000133514404
2020-06-11,6.739999771118164
2020-06-12,6.670000076293945
2020-06-15,6.650000095367432
2020-06-16,6.710000038146973
2020-06-17,6.739999771118164
2020-06-18,6.699999809265137
2020-06-19,6.579999923706055
2020-06-22,6.75
2020-06-23,6.809999942779541
2020-06-24,6.690000057220459
2020-06-25,6.579999923706055
2020-06-26,6.699999809265137
2020-06-29,6.78000020980835
2020-06-30,7.110000133514404
2020-07-01,6.920000076293945
2020-07-02,7.150000095367432
2020-07-03,7.489999771118164
2020-07-06,7.510000228881836
2020-07-07,7.239999771118164
2020-07-08,6.940000057220459
2020-07-09,6.639999866485596
2020-07-10,6.449999809265137
2020-07-13,6.710000038146973
2020-07-14,6.650000095367432
2020-07-16,6.929999828338623
2020-07-17,6.860000133514404
2020-07-20,6.800000190734863
2020-07-21,6.659999847412109
2020-07-22,6.599999904632568
2020-07-23,6.610000133514404
2020-07-24,6.539999961853027
2020-07-27,6.590000152587891
2020-07-28,6.260000228881836
2020-07-29,6.130000114440918
2020-07-30,6.199999809265137
2020-08-04,5.96999979019165
2020-08-05,5.869999885559082
2020-08-06,5.289999961853027
2020-08-07,5.590000152587891
2020-08-10,6.320000171661377
2020-08-11,6.320000171661377
2020-08-12,6.130000114440918
2020-08-13,5.960000038146973
2020-08-14,5.949999809265137
2020-08-17,5.880000114440918
2020-08-18,5.980000019073486
2020-08-19,5.929999828338623
2020-08-20,5.909999847412109
2020-08-21,5.940000057220459
2020-08-24,6.059999942779541
2020-08-25,5.860000133514404
2020-08-26,5.940000057220459
2020-08-27,6.059999942779541
2020-08-28,6.010000228881836
2020-08-31,6.019999980926514
2020-09-01,6.079999923706055
2020-09-02,6.21999979019165
2020-09-03,6.150000095367432
2020-09-04,6.239999771118164
2020-09-07,6.489999771118164
2020-09-08,6.400000095367432
2020-09-09,6.679999828338623
2020-09-10,6.46999979019165
2020-09-11,6.639999866485596
2020-09-14,6.570000171661377
2020-09-15,6.570000171661377
2020-09-16,6.849999904632568
2020-09-17,6.659999847412109
2020-09-18,6.659999847412109
2020-09-21,6.380000114440918
2020-09-22,6.25
2020-09-23,6.409999847412109
2020-09-24,6.599999904632568
2020-09-25,6.570000171661377
2020-09-28,6.670000076293945
2020-09-29,6.78000020980835
2020-09-30,6.789999961853027
