Date,TSGYO.IS
2020-01-02,1.3600000143051147
2020-01-03,1.3200000524520874
2020-01-06,1.2400000095367432
2020-01-07,1.2899999618530273
2020-01-08,1.2699999809265137
2020-01-09,1.309999942779541
2020-01-10,1.3300000429153442
2020-01-13,1.3600000143051147
2020-01-14,1.340000033378601
2020-01-15,1.409999966621399
2020-01-16,1.440000057220459
2020-01-17,1.4299999475479126
2020-01-20,1.4600000381469727
2020-01-21,1.4500000476837158
2020-01-22,1.4299999475479126
2020-01-23,1.4600000381469727
2020-01-24,1.5
2020-01-27,1.590000033378601
2020-01-28,1.7899999618530273
2020-01-29,1.690000057220459
2020-01-30,1.7300000190734863
2020-01-31,1.7100000381469727
2020-02-03,1.6699999570846558
2020-02-04,1.9299999475479126
2020-02-05,1.9299999475479126
2020-02-06,2.049999952316284
2020-02-07,2.0
2020-02-10,1.9500000476837158
2020-02-11,1.9600000381469727
2020-02-12,1.9500000476837158
2020-02-13,1.9800000190734863
2020-02-14,2.049999952316284
2020-02-17,2.130000114440918
2020-02-18,1.5322530269622803
2020-02-19,1.6177740097045898
2020-02-20,1.4396049976348877
2020-02-21,1.4110980033874512
2020-02-24,1.3968449831008911
2020-02-25,1.3897180557250977
2020-02-26,1.3825910091400146
2020-02-27,1.3041969537734985
2020-02-28,1.232928991317749
2020-03-02,1.3184499740600586
2020-03-03,1.332703948020935
2020-03-04,1.2685630321502686
2020-03-05,1.275689959526062
2020-03-06,1.289942979812622
2020-03-09,1.133154034614563
2020-03-10,1.019126057624817
2020-03-11,1.019126057624817
2020-03-12,0.8053230047225952
2020-03-13,0.84095698595047
2020-03-16,0.7910699844360352
2020-03-17,0.7910699844360352
2020-03-18,0.7839429974555969
2020-03-19,0.7839429974555969
2020-03-20,0.7981969714164734
2020-03-23,0.7768160104751587
2020-03-24,0.8765910267829895
2020-03-25,0.905098021030426
2020-03-26,0.9763659834861755
2020-03-27,0.9621120095252991
2020-03-30,0.9692389965057373
2020-03-31,1.0690139532089233
2020-04-01,1.0618870258331299
2020-04-02,1.07614004611969
2020-04-03,1.0690139532089233
2020-04-06,1.11177396774292
2020-04-07,1.1046470403671265
2020-04-08,1.0975209474563599
2020-04-09,1.1046470403671265
2020-04-10,1.0832669734954834
2020-04-13,1.11177396774292
2020-04-14,1.1901689767837524
2020-04-15,1.1046470403671265
2020-04-16,1.0832669734954834
2020-04-17,1.1046470403671265
2020-04-20,1.133154034614563
2020-04-21,1.118901014328003
2020-04-22,1.1260279417037964
2020-04-24,1.1260279417037964
2020-04-27,1.1474080085754395
2020-04-28,1.183042049407959
2020-04-29,1.289942979812622
2020-04-30,1.254309058189392
2020-05-04,1.225801944732666
2020-05-05,1.2471829652786255
2020-05-06,1.240056037902832
2020-05-07,1.2115490436553955
2020-05-08,1.1901689767837524
2020-05-11,1.218675971031189
2020-05-12,1.240056037902832
2020-05-13,1.232928991317749
2020-05-14,1.289942979812622
2020-05-15,1.4253519773483276
2020-05-18,1.5678869485855103
2020-05-20,1.7246760129928589
2020-05-21,1.895717978477478
2020-05-22,1.9741120338439941
2020-05-27,1.838703989982605
2020-05-28,2.0168728828430176
2020-05-29,2.2164220809936523
2020-06-01,2.437351942062378
2020-06-02,2.679661989212036
2020-06-03,2.7081689834594727
2020-06-04,2.4444780349731445
2020-06-05,2.380337953567505
2020-06-08,2.4088449478149414
2020-06-09,2.380337953567505
2020-06-10,2.61552095413208
2020-06-11,2.7723090648651123
2020-06-12,2.743802070617676
2020-06-15,2.66540789604187
2020-06-16,2.7081689834594727
2020-06-17,2.658281087875366
2020-06-18,2.6939148902893066
2020-06-19,2.608393907546997
2020-06-22,2.4017179012298584
2020-06-23,2.380337953567505
2020-06-24,2.3874640464782715
2020-06-25,2.3375771045684814
2020-06-26,2.316196918487549
2020-06-29,2.2805631160736084
2020-06-30,2.430224895477295
2020-07-01,2.415971040725708
2020-07-02,2.437351942062378
2020-07-03,2.4444780349731445
2020-07-06,2.501492977142334
2020-07-07,2.437351942062378
2020-07-08,2.366084098815918
2020-07-09,2.259182929992676
2020-07-10,2.166534900665283
2020-07-13,2.309070110321045
2020-07-14,2.301943063735962
2020-07-16,2.316196918487549
2020-07-17,2.480112075805664
2020-07-20,2.537126064300537
2020-07-21,2.480112075805664
2020-07-22,2.4444780349731445
2020-07-23,2.437351942062378
2020-07-24,2.437351942062378
2020-07-27,2.415971040725708
2020-07-28,2.2663090229034424
2020-07-29,2.244929075241089
2020-07-30,2.4658589363098145
2020-08-04,2.301943063735962
2020-08-05,2.309070110321045
2020-08-06,2.0810139179229736
2020-08-07,2.2306759357452393
2020-08-10,2.2021689414978027
2020-08-11,2.2805631160736084
2020-08-12,2.2021689414978027
2020-08-13,2.0952670574188232
2020-08-14,2.301943063735962
2020-08-17,2.5299999713897705
2020-08-18,2.4600000381469727
2020-08-19,2.359999895095825
2020-08-20,2.2699999809265137
2020-08-21,2.2699999809265137
2020-08-24,2.3299999237060547
2020-08-25,2.25
2020-08-26,2.180000066757202
2020-08-27,2.259999990463257
2020-08-28,2.2300000190734863
2020-08-31,2.2100000381469727
2020-09-01,2.2100000381469727
2020-09-02,2.200000047683716
2020-09-03,2.2200000286102295
2020-09-04,2.180000066757202
2020-09-07,2.2100000381469727
2020-09-08,2.2699999809265137
2020-09-09,2.299999952316284
2020-09-10,2.25
2020-09-11,2.369999885559082
2020-09-14,2.3299999237060547
2020-09-15,2.3399999141693115
2020-09-16,2.4700000286102295
2020-09-17,2.4700000286102295
2020-09-18,2.4700000286102295
2020-09-21,2.450000047683716
