Date,OZKGY.IS
2020-01-02,1.309999942779541
2020-01-03,1.2999999523162842
2020-01-06,1.2599999904632568
2020-01-07,1.3049999475479126
2020-01-08,1.2799999713897705
2020-01-09,1.3550000190734863
2020-01-10,1.3450000286102295
2020-01-13,1.3550000190734863
2020-01-14,1.3600000143051147
2020-01-15,1.3600000143051147
2020-01-16,1.3550000190734863
2020-01-17,1.4249999523162842
2020-01-20,1.4950000047683716
2020-01-21,1.5499999523162842
2020-01-22,1.590000033378601
2020-01-23,1.5800000429153442
2020-01-24,1.5850000381469727
2020-01-27,1.6200000047683716
2020-01-28,1.6150000095367432
2020-01-29,1.6200000047683716
2020-01-30,1.600000023841858
2020-01-31,1.75
2020-02-03,1.725000023841858
2020-02-04,1.725000023841858
2020-02-05,1.6699999570846558
2020-02-06,1.6749999523162842
2020-02-07,1.6749999523162842
2020-02-10,1.6699999570846558
2020-02-11,1.6799999475479126
2020-02-12,1.6749999523162842
2020-02-13,1.6649999618530273
2020-02-14,1.6799999475479126
2020-02-17,1.7050000429153442
2020-02-18,1.6950000524520874
2020-02-19,1.6399999856948853
2020-02-20,1.524999976158142
2020-02-21,1.5800000429153442
2020-02-24,1.5800000429153442
2020-02-25,1.5850000381469727
2020-02-26,1.600000023841858
2020-02-27,1.534999966621399
2020-02-28,1.4049999713897705
2020-03-02,1.475000023841858
2020-03-03,1.5449999570846558
2020-03-04,1.5750000476837158
2020-03-05,1.5800000429153442
2020-03-06,1.5199999809265137
2020-03-09,1.350000023841858
2020-03-10,1.2300000190734863
2020-03-11,1.2300000190734863
2020-03-12,1.1449999809265137
2020-03-13,1.225000023841858
2020-03-16,1.1100000143051147
2020-03-17,1.024999976158142
2020-03-18,0.9950000047683716
2020-03-19,1.0800000429153442
2020-03-20,1.1399999856948853
2020-03-23,1.059999942779541
2020-03-24,1.100000023841858
2020-03-25,1.0750000476837158
2020-03-26,1.0950000286102295
2020-03-27,1.059999942779541
2020-03-30,1.090000033378601
2020-03-31,1.159999966621399
2020-04-01,1.1799999475479126
2020-04-02,1.149999976158142
2020-04-03,1.1649999618530273
2020-04-06,1.1950000524520874
2020-04-07,1.2050000429153442
2020-04-08,1.2100000381469727
2020-04-09,1.2000000476837158
2020-04-10,1.1950000524520874
2020-04-13,1.2050000429153442
2020-04-14,1.2350000143051147
2020-04-15,1.1649999618530273
2020-04-16,1.215000033378601
2020-04-17,1.225000023841858
2020-04-20,1.2200000286102295
2020-04-21,1.2000000476837158
2020-04-22,1.25
2020-04-24,1.2649999856948853
2020-04-27,1.309999942779541
2020-04-28,1.309999942779541
2020-04-29,1.3600000143051147
2020-04-30,1.4199999570846558
2020-05-04,1.4900000095367432
2020-05-05,1.4550000429153442
2020-05-06,1.4700000286102295
2020-05-07,1.4500000476837158
2020-05-08,1.4199999570846558
2020-05-11,1.434999942779541
2020-05-12,1.4500000476837158
2020-05-13,1.4600000381469727
2020-05-14,1.4299999475479126
2020-05-15,1.4249999523162842
2020-05-18,1.4299999475479126
2020-05-20,1.4700000286102295
2020-05-21,1.4600000381469727
2020-05-22,1.5049999952316284
2020-05-27,1.524999976158142
2020-05-28,1.5199999809265137
2020-05-29,1.5199999809265137
2020-06-01,1.5449999570846558
2020-06-02,1.5800000429153442
2020-06-03,1.5850000381469727
2020-06-04,1.590000033378601
2020-06-05,1.5850000381469727
2020-06-08,1.600000023841858
2020-06-09,1.6349999904632568
2020-06-10,1.7000000476837158
2020-06-11,1.7000000476837158
2020-06-12,1.690000057220459
2020-06-15,1.7450000047683716
2020-06-16,1.8650000095367432
2020-06-17,1.8700000047683716
2020-06-18,1.934999942779541
2020-06-19,1.909999966621399
2020-06-22,1.9199999570846558
2020-06-23,1.9299999475479126
2020-06-24,1.9049999713897705
2020-06-25,1.9700000286102295
2020-06-26,1.9500000476837158
2020-06-29,1.9950000047683716
2020-06-30,2.0399999618530273
2020-07-01,2.0899999141693115
2020-07-02,2.1500000953674316
2020-07-03,2.140000104904175
2020-07-06,2.200000047683716
2020-07-07,2.234999895095825
2020-07-08,2.25
2020-07-09,2.1500000953674316
2020-07-10,2.115000009536743
2020-07-13,2.255000114440918
2020-07-14,2.450000047683716
2020-07-16,2.4000000953674316
2020-07-17,2.434999942779541
2020-07-20,2.434999942779541
2020-07-21,2.369999885559082
2020-07-22,2.380000114440918
2020-07-23,2.3450000286102295
2020-07-24,2.390000104904175
2020-07-27,2.369999885559082
2020-07-28,2.299999952316284
2020-07-29,2.2799999713897705
2020-07-30,2.315000057220459
2020-08-04,2.130000114440918
2020-08-05,2.0950000286102295
2020-08-06,1.9149999618530273
2020-08-07,1.9550000429153442
2020-08-10,1.965000033378601
2020-08-11,2.0950000286102295
2020-08-12,2.0199999809265137
2020-08-13,1.940000057220459
2020-08-14,1.9149999618530273
2020-08-17,1.8600000143051147
2020-08-18,1.8300000429153442
2020-08-19,1.8650000095367432
2020-08-20,1.8799999952316284
2020-08-21,1.934999942779541
2020-08-24,1.9850000143051147
2020-08-25,1.909999966621399
2020-08-26,1.899999976158142
2020-08-27,1.975000023841858
2020-08-28,1.9299999475479126
2020-08-31,1.8799999952316284
2020-09-01,1.8650000095367432
2020-09-02,1.8700000047683716
2020-09-03,1.8250000476837158
2020-09-04,1.8550000190734863
2020-09-07,1.9199999570846558
2020-09-08,1.8949999809265137
2020-09-09,1.9450000524520874
2020-09-10,1.9299999475479126
2020-09-11,1.9299999475479126
2020-09-14,1.9249999523162842
2020-09-15,1.9149999618530273
2020-09-16,1.9149999618530273
2020-09-17,1.9950000047683716
