Date,EGGUB.IS
2020-01-02,49.2400016784668
2020-01-03,47.79999923706055
2020-01-06,46.52000045776367
2020-01-07,47.41999816894531
2020-01-08,49.540000915527344
2020-01-09,51.849998474121094
2020-01-10,57.20000076293945
2020-01-13,55.75
2020-01-14,56.599998474121094
2020-01-15,56.0
2020-01-16,55.04999923706055
2020-01-17,53.95000076293945
2020-01-20,55.150001525878906
2020-01-21,54.900001525878906
2020-01-22,54.25
2020-01-23,54.349998474121094
2020-01-24,54.5
2020-01-27,56.20000076293945
2020-01-28,54.79999923706055
2020-01-29,54.5
2020-01-30,54.349998474121094
2020-01-31,54.349998474121094
2020-02-03,55.54999923706055
2020-02-04,55.599998474121094
2020-02-05,55.650001525878906
2020-02-06,57.650001525878906
2020-02-07,58.400001525878906
2020-02-10,54.70000076293945
2020-02-11,54.650001525878906
2020-02-12,55.0
2020-02-13,55.29999923706055
2020-02-14,54.099998474121094
2020-02-17,54.20000076293945
2020-02-18,53.04999923706055
2020-02-19,52.0
2020-02-20,49.0
2020-02-21,49.34000015258789
2020-02-24,50.04999923706055
2020-02-25,49.84000015258789
2020-02-26,49.41999816894531
2020-02-27,51.0
2020-02-28,48.97999954223633
2020-03-02,48.97999954223633
2020-03-03,49.20000076293945
2020-03-04,48.15999984741211
2020-03-05,48.099998474121094
2020-03-06,46.5
2020-03-09,43.20000076293945
2020-03-10,41.0
2020-03-11,41.0
2020-03-12,34.0
2020-03-13,37.2400016784668
2020-03-16,33.279998779296875
2020-03-17,31.719999313354492
2020-03-18,32.0
2020-03-19,32.939998626708984
2020-03-20,33.7400016784668
2020-03-23,33.459999084472656
2020-03-24,36.0
2020-03-25,37.36000061035156
2020-03-26,41.220001220703125
2020-03-27,41.099998474121094
2020-03-30,40.29999923706055
2020-03-31,41.08000183105469
2020-04-01,40.65999984741211
2020-04-02,40.5
2020-04-03,41.5
2020-04-06,42.20000076293945
2020-04-07,42.540000915527344
2020-04-08,42.540000915527344
2020-04-09,43.29999923706055
2020-04-10,43.31999969482422
2020-04-13,43.79999923706055
2020-04-14,45.099998474121094
2020-04-15,44.5
2020-04-16,47.86000061035156
2020-04-17,49.540000915527344
2020-04-20,49.36000061035156
2020-04-21,49.7599983215332
2020-04-22,51.70000076293945
2020-04-24,53.650001525878906
2020-04-27,55.20000076293945
2020-04-28,54.349998474121094
2020-04-29,54.5
2020-04-30,53.70000076293945
2020-05-04,52.150001525878906
2020-05-05,52.0
2020-05-06,51.95000076293945
2020-05-07,52.75
2020-05-08,52.150001525878906
2020-05-11,52.599998474121094
2020-05-12,53.5
2020-05-13,55.45000076293945
2020-05-14,54.95000076293945
2020-05-15,57.400001525878906
2020-05-18,57.25
2020-05-20,57.0
2020-05-21,58.25
2020-05-22,57.099998474121094
2020-05-27,58.20000076293945
2020-05-28,60.5
2020-05-29,66.4000015258789
2020-06-01,73.0
2020-06-02,80.30000305175781
2020-06-03,76.44999694824219
2020-06-04,83.30000305175781
2020-06-05,86.5
2020-06-08,83.6500015258789
2020-06-09,80.55000305175781
2020-06-10,79.0
2020-06-11,80.5
2020-06-12,79.9000015258789
2020-06-15,80.05000305175781
2020-06-16,82.44999694824219
2020-06-17,81.69999694824219
2020-06-18,81.30000305175781
2020-06-19,84.44999694824219
2020-06-22,89.80000305175781
2020-06-23,88.9000015258789
2020-06-24,87.5
2020-06-25,85.69999694824219
2020-06-26,85.19999694824219
2020-06-29,86.94999694824219
2020-06-30,85.75
2020-07-01,85.0
2020-07-02,86.30000305175781
2020-07-03,86.1500015258789
2020-07-06,86.80000305175781
2020-07-07,85.8499984741211
2020-07-08,87.1500015258789
2020-07-09,83.55000305175781
2020-07-10,83.55000305175781
2020-07-13,86.5999984741211
2020-07-14,93.3499984741211
2020-07-16,92.05000305175781
2020-07-17,94.0
2020-07-20,94.4000015258789
2020-07-21,92.55000305175781
2020-07-22,92.0999984741211
2020-07-23,101.30000305175781
2020-07-24,104.0999984741211
2020-07-27,112.9000015258789
2020-07-28,114.5
2020-07-29,109.0
2020-07-30,107.0
2020-08-04,96.30000305175781
2020-08-05,94.6500015258789
2020-08-06,86.5999984741211
2020-08-07,95.1500015258789
2020-08-10,104.5999984741211
2020-08-11,105.9000015258789
2020-08-12,103.0999984741211
2020-08-13,98.80000305175781
2020-08-14,96.30000305175781
2020-08-17,105.69999694824219
2020-08-18,101.80000305175781
2020-08-19,99.6500015258789
2020-08-20,100.69999694824219
2020-08-21,97.19999694824219
2020-08-24,96.9000015258789
2020-08-25,94.5
2020-08-26,93.9000015258789
2020-08-27,101.30000305175781
2020-08-28,99.1500015258789
2020-08-31,97.5
2020-09-01,98.5
2020-09-02,97.75
2020-09-03,97.3499984741211
2020-09-04,97.25
2020-09-07,97.19999694824219
2020-09-08,95.80000305175781
2020-09-09,100.30000305175781
2020-09-10,102.0999984741211
2020-09-11,102.0
2020-09-14,113.30000305175781
2020-09-15,124.5999984741211
2020-09-16,125.5999984741211
2020-09-17,113.5999984741211
2020-09-18,118.80000305175781
2020-09-21,115.30000305175781
2020-09-22,118.9000015258789
2020-09-23,118.19999694824219
2020-09-24,116.5
2020-09-25,119.5
2020-09-28,117.5999984741211
2020-09-29,117.5999984741211
2020-09-30,128.89999389648438
2020-10-01,125.0999984741211
2020-10-02,124.5
2020-10-05,128.0
2020-10-06,124.5999984741211
2020-10-07,123.69999694824219
2020-10-08,120.19999694824219
2020-10-09,121.5
2020-10-12,123.4000015258789
2020-10-13,126.0999984741211
2020-10-14,124.30000305175781
2020-10-15,122.80000305175781
