Date,PKENT.IS
2020-01-02,5.408332824707031
2020-01-03,5.279166221618652
2020-01-06,5.004166126251221
2020-01-07,5.195833206176758
2020-01-08,5.0208330154418945
2020-01-09,5.237500190734863
2020-01-10,5.162499904632568
2020-01-13,5.470832824707031
2020-01-14,5.449999809265137
2020-01-15,5.4375
2020-01-16,5.449999809265137
2020-01-17,5.4583330154418945
2020-01-20,5.554165840148926
2020-01-21,6.25
2020-01-22,6.25
2020-01-23,6.704165935516357
2020-01-24,7.166666030883789
2020-01-27,8.329166412353516
2020-01-28,8.291666030883789
2020-01-29,8.354166030883789
2020-01-30,8.366665840148926
2020-01-31,8.654166221618652
2020-02-03,8.412500381469727
2020-02-04,8.291666030883789
2020-02-05,8.5
2020-02-06,8.512499809265137
2020-02-07,8.6875
2020-02-10,8.520833015441895
2020-02-11,8.666666030883789
2020-02-12,8.716666221618652
2020-02-13,8.520833015441895
2020-02-14,8.333333015441895
2020-02-17,8.387499809265137
2020-02-18,8.425000190734863
2020-02-19,8.458333015441895
2020-02-20,8.25
2020-02-21,8.395833015441895
2020-02-24,8.375
2020-02-25,8.274999618530273
2020-02-26,8.170832633972168
2020-02-27,7.9375
2020-02-28,7.791666030883789
2020-03-02,7.991665840148926
2020-03-03,7.866665840148926
2020-03-04,7.574999809265137
2020-03-05,7.533332824707031
2020-03-06,7.412499904632568
2020-03-09,6.5833330154418945
2020-03-10,6.341666221618652
2020-03-11,6.341666221618652
2020-03-12,4.6458330154418945
2020-03-13,4.670833110809326
2020-03-16,4.416666030883789
2020-03-17,4.125
2020-03-18,3.9041659832000732
2020-03-19,4.0833330154418945
2020-03-20,4.291666030883789
2020-03-23,4.139583110809326
2020-03-24,4.454165935516357
2020-03-25,4.391665935516357
2020-03-26,4.5
2020-03-27,4.5
2020-03-30,4.3125
2020-03-31,4.408332824707031
2020-04-01,4.366665840148926
2020-04-02,4.366665840148926
2020-04-03,4.800000190734863
2020-04-06,5.279166221618652
2020-04-07,5.212500095367432
2020-04-08,5.358333110809326
2020-04-09,5.6875
2020-04-10,5.504166126251221
2020-04-13,5.487500190734863
2020-04-14,6.029166221618652
2020-04-15,5.829165935516357
2020-04-16,5.670833110809326
2020-04-17,6.050000190734863
2020-04-20,6.079165935516357
2020-04-21,5.875
2020-04-22,5.808332920074463
2020-04-24,5.962500095367432
2020-04-27,6.570833206176758
2020-04-28,6.858333110809326
2020-04-29,6.7083330154418945
2020-04-30,6.5625
2020-05-04,6.554165840148926
2020-05-05,6.566666126251221
2020-05-06,7.0
2020-05-07,6.870832920074463
2020-05-08,6.75
2020-05-11,6.625
2020-05-12,6.858333110809326
2020-05-13,6.741665840148926
2020-05-14,6.699999809265137
2020-05-15,6.683332920074463
2020-05-18,7.425000190734863
2020-05-20,8.166666030883789
2020-05-21,7.625
2020-05-22,7.545833110809326
2020-05-27,7.375
2020-05-28,7.141665935516357
2020-05-29,7.854166030883789
2020-06-01,7.608333110809326
2020-06-02,7.466666221618652
2020-06-03,7.375
2020-06-04,7.262499809265137
2020-06-05,7.349999904632568
2020-06-08,7.5
2020-06-09,7.300000190734863
2020-06-10,7.4583330154418945
2020-06-11,7.375
2020-06-12,7.533332824707031
2020-06-15,7.375
2020-06-16,7.462500095367432
2020-06-17,7.362500190734863
2020-06-18,7.2708330154418945
2020-06-19,7.204165935516357
2020-06-22,7.095832824707031
2020-06-23,6.916666030883789
2020-06-24,6.900000095367432
2020-06-25,6.866665840148926
2020-06-26,6.8333330154418945
2020-06-29,6.900000095367432
2020-06-30,6.775000095367432
2020-07-01,6.766665935516357
2020-07-02,7.441666126251221
2020-07-03,7.2083330154418945
2020-07-06,7.883333206176758
2020-07-07,8.670832633972168
2020-07-08,9.537500381469727
2020-07-09,10.487500190734863
2020-07-10,11.533332824707031
2020-07-13,12.683333396911621
2020-07-14,13.949999809265137
2020-07-16,15.341666221618652
2020-07-17,16.875
2020-07-20,18.5625
2020-07-21,20.41666603088379
2020-07-22,22.458332061767578
2020-07-23,24.704166412353516
2020-07-24,27.170833587646484
2020-07-27,29.887500762939453
2020-07-28,32.875
2020-07-29,36.162498474121094
2020-07-30,39.775001525878906
2020-08-04,35.79999923706055
2020-08-05,32.22083282470703
2020-08-06,29.0
2020-08-07,29.0
2020-08-10,32.849998474121094
2020-08-11,36.133331298828125
2020-08-12,32.52083206176758
2020-08-13,32.541664123535156
2020-08-14,33.33333206176758
2020-08-17,29.16666603088379
2020-08-18,31.66666603088379
2020-08-19,28.6875
2020-08-20,29.375
2020-08-21,27.083332061767578
2020-08-24,29.79166603088379
2020-08-25,31.66666603088379
2020-08-26,31.5625
2020-08-27,35.758331298828125
2020-08-28,35.416664123535156
2020-08-31,38.95833206176758
2020-09-01,42.854164123535156
2020-09-02,47.13750076293945
2020-09-03,51.849998474121094
2020-09-04,57.03333282470703
2020-09-07,51.33333206176758
2020-09-08,46.20000076293945
2020-09-09,41.58333206176758
2020-09-10,45.74166488647461
2020-09-11,50.291664123535156
2020-09-14,45.666664123535156
2020-09-15,41.06666564941406
2020-09-16,44.95833206176758
2020-09-17,40.462501525878906
2020-09-18,41.625
2020-09-21,37.462501525878906
2020-09-22,33.71666717529297
2020-09-23,37.08333206176758
2020-09-24,33.37916564941406
2020-09-25,33.75
2020-09-28,30.0
2020-09-29,29.16666603088379
2020-09-30,33.0
2020-10-01,32.125
2020-10-02,30.208332061767578
2020-10-05,28.75
2020-10-06,29.16666603088379
2020-10-07,28.333332061767578
2020-10-08,28.333332061767578
2020-10-09,28.75
2020-10-12,28.333332061767578
