Date,KONTR.IS
2020-10-19,7.590000152587891
2020-10-20,8.34000015258789
2020-10-21,9.170000076293945
2020-10-22,10.079999923706055
2020-10-23,11.079999923706055
2020-10-26,12.180000305175781
2020-10-27,13.390000343322754
2020-10-28,14.720000267028809
2020-10-30,16.190000534057617
2020-11-02,14.630000114440918
2020-11-03,16.09000015258789
2020-11-04,17.690000534057617
2020-11-05,19.450000762939453
2020-11-06,19.559999465942383
2020-11-09,19.25
2020-11-10,19.5
2020-11-11,18.530000686645508
2020-11-12,18.350000381469727
2020-11-13,18.219999313354492
2020-11-16,18.190000534057617
2020-11-17,17.639999389648438
2020-11-18,17.06999969482422
2020-11-19,16.790000915527344
2020-11-20,17.790000915527344
2020-11-23,17.350000381469727
2020-11-24,16.93000030517578
2020-11-25,16.600000381469727
2020-11-26,16.739999771118164
2020-11-27,16.780000686645508
2020-11-30,16.600000381469727
2020-12-01,17.190000534057617
2020-12-02,16.989999771118164
2020-12-03,17.979999542236328
2020-12-04,17.350000381469727
2020-12-07,18.059999465942383
2020-12-08,18.350000381469727
2020-12-09,17.940000534057617
2020-12-10,17.700000762939453
2020-12-11,17.639999389648438
2020-12-14,17.540000915527344
2020-12-15,18.5
2020-12-16,17.899999618530273
2020-12-17,17.979999542236328
2020-12-18,17.90999984741211
2020-12-21,17.899999618530273
2020-12-22,17.959999084472656
2020-12-23,19.170000076293945
2020-12-24,18.90999984741211
2020-12-25,20.780000686645508
2020-12-28,22.84000015258789
2020-12-29,22.459999084472656
2020-12-30,23.899999618530273
2020-12-31,23.540000915527344
2021-01-04,25.540000915527344
2021-01-05,27.059999465942383
2021-01-06,27.440000534057617
2021-01-07,30.200000762939453
2021-01-08,31.459999084472656
2021-01-11,30.940000534057617
2021-01-12,29.260000228881836
2021-01-13,30.0
2021-01-14,29.040000915527344
2021-01-15,30.420000076293945
2021-01-18,33.65999984741211
2021-01-19,34.68000030517578
2021-01-20,37.939998626708984
2021-01-21,40.68000030517578
2021-01-22,41.70000076293945
2021-01-25,40.08000183105469
2021-01-26,44.060001373291016
2021-01-27,48.459999084472656
2021-01-28,53.29999923706055
2021-01-29,58.599998474121094
2021-02-01,64.44999694824219
2021-02-02,70.8499984741211
2021-02-03,77.9000015258789
2021-02-04,76.19999694824219
2021-02-05,71.9000015258789
2021-02-08,64.75
2021-02-09,71.19999694824219
2021-02-10,78.30000305175781
2021-02-11,86.0999984741211
2021-02-12,94.69999694824219
2021-02-15,93.94999694824219
2021-02-16,98.8499984741211
2021-02-17,98.80000305175781
2021-02-18,91.0
2021-02-19,94.44999694824219
2021-02-22,89.30000305175781
2021-02-23,85.0
2021-02-24,79.5
2021-02-25,77.0
2021-02-26,74.3499984741211
2021-03-01,81.75
2021-03-02,89.9000015258789
2021-03-03,98.8499984741211
2021-03-04,89.0
2021-03-05,97.9000015258789
2021-03-08,103.0
2021-03-09,98.0999984741211
2021-03-10,97.0
2021-03-11,97.6500015258789
2021-03-12,93.3499984741211
2021-03-15,88.44999694824219
2021-03-16,88.69999694824219
2021-03-17,84.80000305175781
2021-03-18,89.9000015258789
2021-03-19,86.5
2021-03-22,77.8499984741211
2021-03-23,79.75
2021-03-24,81.55000305175781
2021-03-25,76.9000015258789
2021-03-26,74.5
2021-03-29,70.5999984741211
2021-03-30,65.75
2021-03-31,72.30000305175781
2021-04-01,79.5
2021-04-02,80.4000015258789
2021-04-05,77.44999694824219
2021-04-06,73.19999694824219
2021-04-07,74.0
2021-04-08,72.44999694824219
2021-04-09,74.19999694824219
2021-04-12,72.9000015258789
2021-04-13,70.19999694824219
2021-04-14,71.0999984741211
2021-04-15,68.19999694824219
2021-04-16,67.25
2021-04-19,61.5
2021-04-20,55.349998474121094
2021-04-21,49.81999969482422
2021-04-22,54.79999923706055
2021-04-26,60.25
2021-04-27,66.25
2021-04-28,67.5
2021-04-29,65.1500015258789
2021-04-30,68.6500015258789
2021-05-03,72.6500015258789
2021-05-04,71.19999694824219
2021-05-05,69.44999694824219
2021-05-06,74.9000015258789
2021-05-07,72.25
2021-05-10,71.9000015258789
2021-05-11,72.75
2021-05-12,73.80000305175781
2021-05-17,71.19999694824219
2021-05-18,69.30000305175781
2021-05-20,70.30000305175781
2021-05-21,70.5
2021-05-24,70.69999694824219
2021-05-25,68.94999694824219
2021-05-26,67.55000305175781
2021-05-27,66.69999694824219
2021-05-28,66.5999984741211
2021-05-31,66.0
2021-06-01,72.5999984741211
2021-06-02,74.5
2021-06-03,72.4000015258789
2021-06-04,70.05000305175781
2021-06-07,69.0
2021-06-08,68.0
2021-06-09,69.30000305175781
2021-06-10,70.0
2021-06-11,69.4000015258789
2021-06-14,68.30000305175781
2021-06-15,67.19999694824219
2021-06-16,65.1500015258789
2021-06-17,71.6500015258789
2021-06-18,70.44999694824219
2021-06-21,67.55000305175781
2021-06-22,67.80000305175781
2021-06-23,68.8499984741211
2021-06-24,69.4000015258789
2021-06-25,68.5
2021-06-28,71.25
2021-06-29,75.0
2021-06-30,75.80000305175781
2021-07-01,74.0
2021-07-02,72.30000305175781
2021-07-05,70.5999984741211
2021-07-06,70.0
2021-07-07,69.5
2021-07-08,67.55000305175781
2021-07-09,68.19999694824219
2021-07-12,65.3499984741211
2021-07-13,63.25
2021-07-14,67.3499984741211
2021-07-16,65.19999694824219
2021-07-19,64.9000015258789
2021-07-26,62.849998474121094
2021-07-27,63.45000076293945
2021-07-28,62.849998474121094
2021-07-29,62.900001525878906
2021-07-30,61.599998474121094
2021-08-02,61.650001525878906
2021-08-03,61.400001525878906
