Date,HLGYO.IS
2020-01-02,0.9009619951248169
2020-01-03,0.8570129871368408
2020-01-06,0.8277130126953125
2020-01-07,0.8350380063056946
2020-01-08,0.8203880190849304
2020-01-09,0.871662974357605
2020-01-10,0.915611982345581
2020-01-13,1.098734974861145
2020-01-14,1.0914100408554077
2020-01-15,1.0474599599838257
2020-01-16,1.0840849876403809
2020-01-17,1.0840849876403809
2020-01-20,1.0767600536346436
2020-01-21,1.098734974861145
2020-01-22,1.098734974861145
2020-01-23,1.0840849876403809
2020-01-24,1.0914100408554077
2020-01-27,1.142683982849121
2020-01-28,1.1353590488433838
2020-01-29,1.1133840084075928
2020-01-30,1.0914100408554077
2020-01-31,1.098734974861145
2020-02-03,1.098734974861145
2020-02-04,1.2086080312728882
2020-02-05,1.1866329908370972
2020-02-06,1.1793090105056763
2020-02-07,1.1793090105056763
2020-02-10,1.12070894241333
2020-02-11,1.1866329908370972
2020-02-12,1.1719839572906494
2020-02-13,1.1793090105056763
2020-02-14,1.1719839572906494
2020-02-17,1.1793090105056763
2020-02-18,1.150009036064148
2020-02-19,1.142683982849121
2020-02-20,1.098734974861145
2020-02-21,1.128033995628357
2020-02-24,1.128033995628357
2020-02-25,1.1353590488433838
2020-02-26,1.142683982849121
2020-02-27,1.0767600536346436
2020-02-28,1.0254859924316406
2020-03-02,1.0547850131988525
2020-03-03,1.1060600280761719
2020-03-04,1.0914100408554077
2020-03-05,1.1573339700698853
2020-03-06,1.1353590488433838
2020-03-09,1.128033995628357
2020-03-10,1.0401350259780884
2020-03-11,1.0401350259780884
2020-03-12,0.8789880275726318
2020-03-13,0.8863120079040527
2020-03-16,0.8057389855384827
2020-03-17,0.7764390110969543
2020-03-18,0.7984139919281006
2020-03-19,0.8130630254745483
2020-03-20,0.8130630254745483
2020-03-23,0.7691140174865723
2020-03-24,0.8350380063056946
2020-03-25,0.8423629999160767
2020-03-26,0.8643379807472229
2020-03-27,0.8789880275726318
2020-03-30,0.8789880275726318
2020-03-31,0.9009619951248169
2020-04-01,0.8789880275726318
2020-04-02,0.8789880275726318
2020-04-03,0.8789880275726318
2020-04-06,0.9009619951248169
2020-04-07,0.8936370015144348
2020-04-08,0.8863120079040527
2020-04-09,0.915611982345581
2020-04-10,0.915611982345581
2020-04-13,0.9522370100021362
2020-04-14,0.9668859839439392
2020-04-15,0.9009619951248169
2020-04-16,0.8936370015144348
2020-04-17,0.9449120163917542
2020-04-20,0.9449120163917542
2020-04-21,0.9449120163917542
2020-04-22,0.9449120163917542
2020-04-24,0.9595609903335571
2020-04-27,1.0035109519958496
2020-04-28,0.9888610243797302
2020-04-29,1.0181610584259033
2020-04-30,1.0328099727630615
2020-05-04,1.0181610584259033
2020-05-05,1.0328099727630615
2020-05-06,1.0254859924316406
2020-05-07,1.0108360052108765
2020-05-08,1.0474599599838257
2020-05-11,1.0621099472045898
2020-05-12,1.0840849876403809
2020-05-13,1.0914100408554077
2020-05-14,1.0547850131988525
2020-05-15,1.0621099472045898
2020-05-18,1.0840849876403809
2020-05-20,1.0840849876403809
2020-05-21,1.0840849876403809
2020-05-22,1.0840849876403809
2020-05-27,1.12070894241333
2020-05-28,1.2232580184936523
2020-05-29,1.3404560089111328
2020-06-01,1.3844059705734253
2020-06-02,1.4283549785614014
2020-06-03,1.4576549530029297
2020-06-04,1.4576549530029297
2020-06-05,1.4283549785614014
2020-06-08,1.4137049913406372
2020-06-09,1.4283549785614014
2020-06-10,1.4430049657821655
2020-06-11,1.421030044555664
2020-06-12,1.4283549785614014
2020-06-15,1.4356800317764282
2020-06-16,1.4796290397644043
2020-06-17,1.4869539737701416
2020-06-18,1.51625394821167
2020-06-19,1.5016039609909058
2020-06-22,1.5016039609909058
2020-06-23,1.5089290142059326
2020-06-24,1.5089290142059326
2020-06-25,1.582177996635437
2020-06-26,1.5895030498504639
2020-06-29,1.626127004623413
2020-06-30,1.6627520322799683
2020-07-01,1.7213510274887085
2020-07-02,1.7579760551452637
2020-07-03,1.7213510274887085
2020-07-06,1.7506510019302368
2020-07-07,1.7506510019302368
2020-07-08,1.7286759614944458
2020-07-09,1.6554269790649414
2020-07-10,1.63345205783844
2020-07-13,1.7286759614944458
2020-07-14,1.8971489667892456
2020-07-16,1.831225037574768
2020-07-17,1.8531990051269531
2020-07-20,1.8458739519119263
2020-07-21,1.787274956703186
2020-07-22,1.809249997138977
2020-07-23,1.787274956703186
2020-07-24,1.809249997138977
2020-07-27,1.8458739519119263
2020-07-28,1.7286759614944458
2020-07-29,1.7140259742736816
2020-07-30,1.8385499715805054
2020-08-04,1.809249997138977
2020-08-05,1.7579760551452637
2020-08-06,1.582177996635437
2020-08-07,1.5528780221939087
2020-08-10,1.5089290142059326
2020-08-11,1.5675280094146729
2020-08-12,1.5968279838562012
2020-08-13,1.5528780221939087
2020-08-14,1.4942790269851685
2020-08-17,1.4942790269851685
2020-08-18,1.4942790269851685
2020-08-19,1.51625394821167
2020-08-20,1.5528780221939087
2020-08-21,1.5528780221939087
2020-08-24,1.5309040546417236
2020-08-25,1.5309040546417236
2020-08-26,1.5528780221939087
2020-08-27,1.6155040264129639
2020-08-28,1.607846975326538
2020-08-31,1.5619089603424072
2020-09-01,1.554252028465271
2020-09-02,1.5465960502624512
2020-09-03,1.5312830209732056
2020-09-04,1.5389399528503418
2020-09-07,1.5695650577545166
2020-09-08,1.669098973274231
2020-09-09,1.6231600046157837
2020-09-10,1.6231600046157837
2020-09-11,1.7150369882583618
2020-09-14,1.7303500175476074
2020-09-15,1.707381010055542
