Date,YYLGD.IS
2022-05-20,13.029999732971191
2022-05-23,12.789999961853027
2022-05-24,12.630000114440918
2022-05-25,12.510000228881836
2022-05-26,12.819999694824219
2022-05-27,12.710000038146973
2022-05-30,12.770000457763672
2022-05-31,12.880000114440918
2022-06-01,12.800000190734863
2022-06-02,13.579999923706055
2022-06-03,13.619999885559082
2022-06-06,13.640000343322754
2022-06-07,13.539999961853027
2022-06-08,13.100000381469727
2022-06-09,13.680000305175781
2022-06-10,14.630000114440918
2022-06-13,14.739999771118164
2022-06-14,14.890000343322754
2022-06-15,14.59000015258789
2022-06-16,14.430000305175781
2022-06-17,15.40999984741211
2022-06-20,16.690000534057617
2022-06-21,17.84000015258789
2022-06-22,17.200000762939453
2022-06-23,18.059999465942383
2022-06-24,17.920000076293945
2022-06-27,17.899999618530273
2022-06-28,17.510000228881836
2022-06-29,17.889999389648438
2022-06-30,17.670000076293945
2022-07-01,18.110000610351562
2022-07-04,17.600000381469727
2022-07-05,17.520000457763672
2022-07-06,17.350000381469727
2022-07-07,17.90999984741211
2022-07-08,17.510000228881836
2022-07-13,17.700000762939453
2022-07-14,17.700000762939453
2022-07-18,17.520000457763672
2022-07-19,17.530000686645508
2022-07-20,18.889999389648438
2022-07-21,19.809999465942383
2022-07-22,19.020000457763672
2022-07-25,18.420000076293945
2022-07-26,18.110000610351562
2022-07-27,18.469999313354492
2022-07-28,18.270000457763672
2022-07-29,18.079999923706055
