Date,HEKTS.IS
2020-01-02,1.5440579652786255
2020-01-03,1.5231670141220093
2020-01-06,1.4851830005645752
2020-01-07,1.5478570461273193
2020-01-08,1.5212680101394653
2020-01-09,1.6086310148239136
2020-01-10,1.6561119556427002
2020-01-13,1.8156460523605347
2020-01-14,1.9618849754333496
2020-01-15,1.9049079418182373
2020-01-16,1.8935129642486572
2020-01-17,1.8821179866790771
2020-01-20,1.8631260395050049
2020-01-21,1.9466910362243652
2020-01-22,1.8954119682312012
2020-01-23,1.899211049079895
2020-01-24,1.903009057044983
2020-01-27,1.9846750497817993
2020-01-28,2.003667116165161
2020-01-29,1.9618849754333496
2020-01-30,1.9295979738235474
2020-01-31,1.9656829833984375
2020-02-03,1.9713809490203857
2020-02-04,1.9903730154037476
2020-02-05,1.9808770418167114
2020-02-06,1.9637839794158936
2020-02-07,1.9675819873809814
2020-02-10,1.9257999658584595
2020-02-11,1.9523890018463135
2020-02-12,1.9618849754333496
2020-02-13,2.087233066558838
2020-02-14,2.054945945739746
2020-02-17,2.085334062576294
2020-02-18,2.054945945739746
2020-02-19,1.9960709810256958
2020-02-20,1.9409929513931274
2020-02-21,1.9808770418167114
2020-02-24,2.003667116165161
2020-02-25,2.0150630474090576
2020-02-26,1.9789780378341675
2020-02-27,1.8954119682312012
2020-02-28,1.834637999534607
2020-03-02,1.8916139602661133
2020-03-03,1.9561870098114014
2020-03-04,1.8916139602661133
2020-03-05,1.899211049079895
2020-03-06,1.834637999534607
2020-03-09,1.6808019876480103
2020-03-10,1.661808967590332
2020-03-11,1.661808967590332
2020-03-12,1.623824954032898
2020-03-13,1.675104022026062
2020-03-16,1.5326629877090454
2020-03-17,1.5535540580749512
2020-03-18,1.5288649797439575
2020-03-19,1.5003759860992432
2020-03-20,1.5364609956741333
2020-03-23,1.5953370332717896
2020-03-24,1.7700639963150024
2020-03-25,1.9447920322418213
2020-03-26,1.9182029962539673
2020-03-27,1.7833590507507324
2020-03-30,1.8555289506912231
2020-03-31,1.914404034614563
2020-04-01,1.849830985069275
2020-04-02,1.8631260395050049
2020-04-03,1.846032977104187
2020-04-06,1.9257999658584595
2020-04-07,1.9485900402069092
2020-04-08,1.9656829833984375
2020-04-09,1.9941710233688354
2020-04-10,1.9675819873809814
2020-04-13,1.9580860137939453
2020-04-14,1.9675819873809814
2020-04-15,2.0682408809661865
2020-04-16,2.212580919265747
2020-04-17,2.163201093673706
2020-04-20,2.1878910064697266
2020-04-21,2.3493239879608154
2020-04-22,2.4119980335235596
2020-04-24,2.3569209575653076
2020-04-27,2.4063000679016113
2020-04-28,2.4119980335235596
2020-04-29,2.611414909362793
2020-04-30,2.5848259925842285
2020-05-04,2.615212917327881
2020-05-05,2.497462034225464
2020-05-06,2.499361991882324
2020-05-07,2.4670751094818115
2020-05-08,2.43668794631958
2020-05-11,2.4632771015167236
2020-05-12,2.5316479206085205
2020-05-13,2.514554977416992
2020-05-14,2.451880931854248
2020-05-15,2.48416805267334
2020-05-18,2.5658340454101562
2020-05-20,2.6437020301818848
2020-05-21,2.6361050605773926
2020-05-22,2.84881591796875
2020-05-27,2.9076919555664062
2020-05-28,2.8165299892425537
2020-05-29,2.8146309852600098
2020-06-01,2.8621110916137695
2020-06-02,2.9076919555664062
2020-06-03,2.9057929515838623
2020-06-04,2.8507161140441895
2020-06-05,2.8222270011901855
2020-06-08,2.7766458988189697
2020-06-09,2.7633519172668457
2020-06-10,2.7614529132843018
2020-06-11,2.7139720916748047
2020-06-12,2.7481579780578613
2020-06-15,2.7044761180877686
2020-06-16,2.7234690189361572
2020-06-17,2.727267026901245
2020-06-18,2.7234690189361572
2020-06-19,2.6968801021575928
2020-06-22,2.6892828941345215
2020-06-23,2.668390989303589
2020-06-24,2.685483932495117
2020-06-25,2.656996011734009
2020-06-26,2.6835849285125732
2020-06-29,2.706376075744629
2020-06-30,2.708275079727173
2020-07-01,2.7500569820404053
2020-07-02,2.7443599700927734
2020-07-03,2.7500569820404053
2020-07-06,2.770948886871338
2020-07-07,2.7329649925231934
2020-07-08,2.731065034866333
2020-07-09,2.6323060989379883
2020-07-10,2.5829269886016846
2020-07-13,2.6930809020996094
2020-07-14,2.6247100830078125
2020-07-16,2.6285080909729004
2020-07-17,2.662693977355957
2020-07-20,2.6968801021575928
2020-07-21,2.668390989303589
2020-07-22,2.655097007751465
2020-07-23,2.719670057296753
2020-07-24,2.8013360500335693
2020-07-27,2.8583130836486816
2020-07-28,2.7139720916748047
2020-07-29,2.7367630004882812
2020-07-30,2.8051350116729736
2020-08-04,2.7500569820404053
2020-08-05,2.791840076446533
2020-08-06,2.600019931793213
2020-08-07,2.6399030685424805
2020-08-10,2.5829269886016846
2020-08-11,2.5924229621887207
2020-08-12,2.550640106201172
2020-08-13,2.514554977416992
2020-08-14,2.3474249839782715
2020-08-17,2.2448670864105225
2020-08-18,2.2448670864105225
2020-08-19,2.2315731048583984
2020-08-20,2.3512229919433594
2020-08-21,2.271456003189087
2020-08-24,2.2942469120025635
2020-08-25,2.256263017654419
2020-08-26,2.280951976776123
2020-08-27,2.3037428855895996
2020-08-28,2.282850980758667
2020-08-31,2.2372701168060303
2020-09-01,2.277153968811035
2020-09-02,2.2999439239501953
2020-09-03,2.267657995223999
2020-09-04,2.3018438816070557
2020-09-07,2.3037428855895996
2020-09-08,2.280951976776123
2020-09-09,2.3094398975372314
2020-09-10,2.3398280143737793
2020-09-11,2.330332040786743
2020-09-14,2.4044010639190674
2020-09-15,2.374013900756836
2020-09-16,2.3569209575653076
