Date,DARDL.IS
2020-01-02,4.159999847412109
2020-01-03,4.039999961853027
2020-01-06,4.019999980926514
2020-01-07,4.409999847412109
2020-01-08,4.599999904632568
2020-01-09,4.849999904632568
2020-01-10,4.900000095367432
2020-01-13,4.869999885559082
2020-01-14,4.820000171661377
2020-01-15,4.71999979019165
2020-01-16,4.800000190734863
2020-01-17,4.5
2020-01-20,4.949999809265137
2020-01-21,5.440000057220459
2020-01-22,5.800000190734863
2020-01-23,5.940000057220459
2020-01-24,6.53000020980835
2020-01-27,7.0
2020-01-28,7.360000133514404
2020-01-29,6.619999885559082
2020-01-30,5.960000038146973
2020-01-31,6.550000190734863
2020-02-03,6.559999942779541
2020-02-04,6.75
2020-02-05,6.289999961853027
2020-02-06,6.260000228881836
2020-02-07,6.099999904632568
2020-02-10,5.699999809265137
2020-02-11,5.789999961853027
2020-02-12,5.699999809265137
2020-02-13,6.25
2020-02-14,6.130000114440918
2020-02-17,5.809999942779541
2020-02-18,5.619999885559082
2020-02-19,5.300000190734863
2020-02-20,5.099999904632568
2020-02-21,5.53000020980835
2020-02-24,5.329999923706055
2020-02-25,5.300000190734863
2020-02-26,5.099999904632568
2020-02-27,4.800000190734863
2020-02-28,4.380000114440918
2020-03-02,4.5
2020-03-03,5.059999942779541
2020-03-04,5.190000057220459
2020-03-05,5.420000076293945
2020-03-06,5.21999979019165
2020-03-09,4.900000095367432
2020-03-10,4.409999847412109
2020-03-11,4.409999847412109
2020-03-12,4.320000171661377
2020-03-13,4.300000190734863
2020-03-16,3.869999885559082
2020-03-17,3.490000009536743
2020-03-18,3.1500000953674316
2020-03-19,2.9700000286102295
2020-03-20,3.0999999046325684
2020-03-23,3.4200000762939453
2020-03-24,3.759999990463257
2020-03-25,4.119999885559082
2020-03-26,4.53000020980835
2020-03-27,4.090000152587891
2020-03-30,4.0
2020-03-31,4.170000076293945
2020-04-01,4.619999885559082
2020-04-02,5.079999923706055
2020-04-03,5.579999923706055
2020-04-06,6.130000114440918
2020-04-07,5.599999904632568
2020-04-08,6.099999904632568
