Date,ANGEN.IS
2021-10-21,24.739999771118164
2021-10-22,24.139999389648438
2021-10-25,22.739999771118164
2021-10-26,22.459999084472656
2021-10-27,21.559999465942383
2021-10-28,21.860000610351562
2021-11-01,21.31999969482422
2021-11-02,20.799999237060547
2021-11-03,20.059999465942383
2021-11-04,20.68000030517578
2021-11-05,21.040000915527344
2021-11-08,20.579999923706055
2021-11-09,20.059999465942383
2021-11-10,20.020000457763672
2021-11-11,19.84000015258789
2021-11-12,19.8799991607666
2021-11-15,19.760000228881836
2021-11-16,19.3700008392334
2021-11-17,19.290000915527344
2021-11-18,19.790000915527344
2021-11-19,20.15999984741211
2021-11-22,21.139999389648438
2021-11-23,20.920000076293945
2021-11-24,21.020000457763672
2021-11-25,21.1200008392334
2021-11-26,23.219999313354492
2021-11-29,23.31999969482422
2021-11-30,22.280000686645508
2021-12-01,21.780000686645508
2021-12-02,22.420000076293945
2021-12-03,23.200000762939453
2021-12-06,24.0
2021-12-07,23.5
2021-12-08,22.899999618530273
2021-12-09,24.200000762939453
2021-12-10,25.020000457763672
2021-12-13,24.799999237060547
2021-12-14,25.700000762939453
2021-12-15,27.059999465942383
2021-12-16,28.940000534057617
2021-12-17,28.100000381469727
2021-12-20,30.899999618530273
2021-12-21,27.81999969482422
2021-12-22,27.31999969482422
2021-12-23,26.100000381469727
2021-12-24,28.600000381469727
2021-12-27,30.700000762939453
2021-12-28,30.3799991607666
2021-12-29,29.8799991607666
2021-12-30,29.18000030517578
2021-12-31,29.200000762939453
2022-01-03,30.15999984741211
2022-01-04,29.239999771118164
2022-01-05,28.100000381469727
2022-01-06,28.239999771118164
2022-01-07,27.979999542236328
2022-01-10,27.540000915527344
2022-01-11,27.8799991607666
2022-01-12,27.5
2022-01-13,26.459999084472656
2022-01-14,26.5
2022-01-17,26.040000915527344
2022-01-18,24.959999084472656
2022-01-19,25.5
2022-01-20,25.200000762939453
2022-01-21,25.18000030517578
2022-01-24,24.81999969482422
2022-01-25,26.860000610351562
2022-01-26,27.020000457763672
2022-01-27,27.65999984741211
2022-01-28,28.15999984741211
2022-01-31,27.719999313354492
2022-02-01,28.020000457763672
2022-02-02,28.639999389648438
2022-02-03,28.040000915527344
2022-02-04,28.559999465942383
2022-02-07,29.459999084472656
2022-02-08,29.5
2022-02-09,28.280000686645508
2022-02-10,29.700000762939453
2022-02-11,28.81999969482422
2022-02-14,27.65999984741211
2022-02-15,27.5
2022-02-16,27.799999237060547
2022-02-17,27.860000610351562
2022-02-18,27.5
2022-02-21,27.219999313354492
2022-02-22,26.719999313354492
2022-02-23,26.399999618530273
2022-02-24,23.760000228881836
2022-02-25,24.799999237060547
2022-02-28,24.6200008392334
2022-03-01,24.239999771118164
2022-03-02,24.579999923706055
2022-03-03,25.6200008392334
2022-03-04,25.100000381469727
2022-03-07,23.940000534057617
2022-03-08,23.5
2022-03-09,23.84000015258789
2022-03-10,23.479999542236328
2022-03-11,23.540000915527344
2022-03-14,23.579999923706055
2022-03-15,23.860000610351562
2022-03-16,24.760000228881836
2022-03-17,24.360000610351562
2022-03-18,25.700000762939453
2022-03-21,27.139999389648438
2022-03-22,27.6200008392334
2022-03-23,26.920000076293945
2022-03-24,28.34000015258789
2022-03-25,28.239999771118164
2022-03-28,29.100000381469727
2022-03-29,28.459999084472656
2022-03-30,28.059999465942383
2022-03-31,28.059999465942383
2022-04-01,29.299999237060547
2022-04-04,28.739999771118164
2022-04-05,28.239999771118164
2022-04-06,27.899999618530273
2022-04-07,28.3799991607666
2022-04-08,29.15999984741211
2022-04-11,29.299999237060547
2022-04-12,28.959999084472656
2022-04-13,28.299999237060547
2022-04-14,28.260000228881836
2022-04-15,28.219999313354492
2022-04-18,28.059999465942383
2022-04-19,28.219999313354492
2022-04-20,28.059999465942383
2022-04-21,28.260000228881836
2022-04-22,28.059999465942383
2022-04-25,28.239999771118164
2022-04-26,27.600000381469727
2022-04-27,27.139999389648438
2022-04-28,27.360000610351562
2022-04-29,27.81999969482422
2022-05-05,28.420000076293945
2022-05-06,28.799999237060547
2022-05-09,29.780000686645508
2022-05-10,29.899999618530273
2022-05-11,29.979999542236328
2022-05-12,29.420000076293945
2022-05-13,32.0
2022-05-16,30.799999237060547
2022-05-17,31.020000457763672
2022-05-18,30.700000762939453
2022-05-20,30.18000030517578
2022-05-23,27.639999389648438
2022-05-24,27.5
2022-05-25,27.3799991607666
2022-05-26,27.360000610351562
2022-05-27,27.84000015258789
2022-05-30,27.700000762939453
2022-05-31,27.540000915527344
2022-06-01,27.299999237060547
2022-06-02,26.959999084472656
2022-06-03,26.780000686645508
2022-06-06,27.020000457763672
2022-06-07,27.100000381469727
2022-06-08,26.139999389648438
2022-06-09,26.239999771118164
2022-06-10,25.479999542236328
2022-06-13,25.219999313354492
2022-06-14,25.479999542236328
2022-06-15,25.219999313354492
2022-06-16,24.719999313354492
2022-06-17,24.920000076293945
2022-06-20,25.200000762939453
2022-06-21,25.299999237060547
2022-06-22,25.0
2022-06-23,25.18000030517578
2022-06-24,26.239999771118164
2022-06-27,25.68000030517578
2022-06-28,25.760000228881836
2022-06-29,24.700000762939453
2022-06-30,25.540000915527344
2022-07-01,25.719999313354492
2022-07-04,26.219999313354492
2022-07-05,25.600000381469727
2022-07-06,26.18000030517578
2022-07-07,26.299999237060547
2022-07-08,26.639999389648438
2022-07-13,29.059999465942383
2022-07-14,29.219999313354492
2022-07-18,31.700000762939453
2022-07-19,31.219999313354492
2022-07-20,30.8799991607666
2022-07-21,31.579999923706055
2022-07-22,31.760000228881836
