Date,EGSER.IS
2020-01-02,3.7699999809265137
2020-01-03,3.7200000286102295
2020-01-06,3.559999942779541
2020-01-07,3.619999885559082
2020-01-08,3.569999933242798
2020-01-09,3.7200000286102295
2020-01-10,3.7300000190734863
2020-01-13,3.7899999618530273
2020-01-14,3.819999933242798
2020-01-15,3.859999895095825
2020-01-16,3.890000104904175
2020-01-17,3.859999895095825
2020-01-20,3.950000047683716
2020-01-21,4.619999885559082
2020-01-22,4.889999866485596
2020-01-23,4.840000152587891
2020-01-24,4.829999923706055
2020-01-27,5.110000133514404
2020-01-28,5.110000133514404
2020-01-29,5.099999904632568
2020-01-30,4.940000057220459
2020-01-31,4.920000076293945
2020-02-03,4.920000076293945
2020-02-04,5.039999961853027
2020-02-05,5.039999961853027
2020-02-06,5.039999961853027
2020-02-07,4.929999828338623
2020-02-10,4.739999771118164
2020-02-11,4.880000114440918
2020-02-12,4.869999885559082
2020-02-13,4.849999904632568
2020-02-14,4.909999847412109
2020-02-17,5.150000095367432
2020-02-18,5.0
2020-02-19,5.0
2020-02-20,4.980000019073486
2020-02-21,5.0
2020-02-24,4.920000076293945
2020-02-25,4.880000114440918
2020-02-26,4.820000171661377
2020-02-27,4.46999979019165
2020-02-28,4.449999809265137
2020-03-02,4.53000020980835
2020-03-03,4.659999847412109
2020-03-04,4.579999923706055
2020-03-05,4.53000020980835
2020-03-06,4.429999828338623
2020-03-09,4.400000095367432
2020-03-10,4.010000228881836
2020-03-11,4.010000228881836
2020-03-12,3.569999933242798
2020-03-13,3.4100000858306885
2020-03-16,3.130000114440918
2020-03-17,2.819999933242798
2020-03-18,2.7300000190734863
2020-03-19,2.6700000762939453
2020-03-20,2.640000104904175
2020-03-23,2.559999942779541
2020-03-24,2.799999952316284
2020-03-25,2.890000104904175
2020-03-26,3.0399999618530273
2020-03-27,3.069999933242798
2020-03-30,3.059999942779541
2020-03-31,3.190000057220459
2020-04-01,3.200000047683716
2020-04-02,3.200000047683716
2020-04-03,3.1600000858306885
2020-04-06,3.299999952316284
2020-04-07,3.2899999618530273
2020-04-08,3.2799999713897705
2020-04-09,3.3499999046325684
2020-04-10,3.490000009536743
2020-04-13,3.549999952316284
2020-04-14,3.7100000381469727
2020-04-15,3.509999990463257
2020-04-16,3.6500000953674316
2020-04-17,3.7300000190734863
2020-04-20,3.7699999809265137
2020-04-21,3.6700000762939453
2020-04-22,3.630000114440918
2020-04-24,3.7300000190734863
2020-04-27,3.819999933242798
2020-04-28,3.880000114440918
2020-04-29,3.950000047683716
2020-04-30,3.940000057220459
2020-05-04,3.9000000953674316
2020-05-05,3.9800000190734863
2020-05-06,4.03000020980835
2020-05-07,3.990000009536743
2020-05-08,3.9700000286102295
2020-05-11,4.349999904632568
2020-05-12,4.21999979019165
2020-05-13,4.230000019073486
2020-05-14,4.090000152587891
2020-05-15,4.150000095367432
2020-05-18,4.210000038146973
2020-05-20,4.21999979019165
2020-05-21,4.25
2020-05-22,4.210000038146973
2020-05-27,4.650000095367432
2020-05-28,4.599999904632568
2020-05-29,4.659999847412109
2020-06-01,4.690000057220459
2020-06-02,4.710000038146973
2020-06-03,4.730000019073486
2020-06-04,4.809999942779541
2020-06-05,4.829999923706055
2020-06-08,4.760000228881836
2020-06-09,4.730000019073486
2020-06-10,4.840000152587891
2020-06-11,4.889999866485596
2020-06-12,4.920000076293945
2020-06-15,4.900000095367432
2020-06-16,4.989999771118164
2020-06-17,5.019999980926514
2020-06-18,5.050000190734863
2020-06-19,5.039999961853027
2020-06-22,5.150000095367432
2020-06-23,5.239999771118164
2020-06-24,5.119999885559082
2020-06-25,5.050000190734863
2020-06-26,5.0
2020-06-29,5.150000095367432
2020-06-30,5.159999847412109
2020-07-01,5.230000019073486
2020-07-02,5.369999885559082
2020-07-03,5.380000114440918
2020-07-06,5.570000171661377
2020-07-07,5.769999980926514
2020-07-08,5.610000133514404
2020-07-09,5.230000019073486
2020-07-10,5.079999923706055
2020-07-13,5.369999885559082
2020-07-14,5.809999942779541
2020-07-16,5.690000057220459
2020-07-17,5.699999809265137
2020-07-20,5.699999809265137
2020-07-21,5.539999961853027
2020-07-22,5.389999866485596
2020-07-23,5.519999980926514
2020-07-24,5.519999980926514
2020-07-27,5.590000152587891
2020-07-28,5.28000020980835
2020-07-29,5.300000190734863
2020-07-30,5.349999904632568
2020-08-04,5.039999961853027
2020-08-05,5.070000171661377
2020-08-06,4.590000152587891
2020-08-07,4.739999771118164
2020-08-10,4.860000133514404
2020-08-11,5.340000152587891
2020-08-12,5.300000190734863
2020-08-13,5.320000171661377
2020-08-14,5.179999828338623
2020-08-17,5.110000133514404
2020-08-18,5.170000076293945
2020-08-19,5.340000152587891
2020-08-20,5.510000228881836
2020-08-21,5.309999942779541
2020-08-24,5.360000133514404
2020-08-25,5.260000228881836
2020-08-26,5.239999771118164
2020-08-27,5.440000057220459
2020-08-28,5.380000114440918
2020-08-31,5.28000020980835
2020-09-01,5.25
2020-09-02,5.260000228881836
2020-09-03,5.190000057220459
2020-09-04,5.199999809265137
2020-09-07,5.309999942779541
2020-09-08,5.46999979019165
2020-09-09,5.519999980926514
2020-09-10,5.440000057220459
2020-09-11,5.369999885559082
2020-09-14,5.619999885559082
2020-09-15,6.210000038146973
2020-09-16,6.059999942779541
2020-09-17,6.300000190734863
2020-09-18,6.440000057220459
2020-09-21,6.230000019073486
2020-09-22,6.400000095367432
2020-09-23,6.400000095367432
2020-09-24,6.340000152587891
2020-09-25,6.409999847412109
2020-09-28,6.400000095367432
2020-09-29,6.630000114440918
