Date,NUGYO.IS
2020-01-02,3.619999885559082
2020-01-03,3.450000047683716
2020-01-06,3.2300000190734863
2020-01-07,3.4000000953674316
2020-01-08,3.380000114440918
2020-01-09,3.5399999618530273
2020-01-10,3.6600000858306885
2020-01-13,3.9100000858306885
2020-01-14,3.940000057220459
2020-01-15,3.9000000953674316
2020-01-16,3.9000000953674316
2020-01-17,3.890000104904175
2020-01-20,3.950000047683716
2020-01-21,4.199999809265137
2020-01-22,4.210000038146973
2020-01-23,4.179999828338623
2020-01-24,4.260000228881836
2020-01-27,4.380000114440918
2020-01-28,4.329999923706055
2020-01-29,4.599999904632568
2020-01-30,4.380000114440918
2020-01-31,4.289999961853027
2020-02-03,4.46999979019165
2020-02-04,4.510000228881836
2020-02-05,4.46999979019165
2020-02-06,4.449999809265137
2020-02-07,4.409999847412109
2020-02-10,4.289999961853027
2020-02-11,4.260000228881836
2020-02-12,4.28000020980835
2020-02-13,4.309999942779541
2020-02-14,4.289999961853027
2020-02-17,4.349999904632568
2020-02-18,4.239999771118164
2020-02-19,4.210000038146973
2020-02-20,3.9200000762939453
2020-02-21,3.9800000190734863
2020-02-24,3.9200000762939453
2020-02-25,3.9700000286102295
2020-02-26,3.9600000381469727
2020-02-27,3.700000047683716
2020-02-28,3.5
2020-03-02,3.5899999141693115
2020-03-03,3.75
2020-03-04,3.619999885559082
2020-03-05,3.630000114440918
2020-03-06,3.5
2020-03-09,3.2300000190734863
2020-03-10,2.940000057220459
2020-03-11,2.940000057220459
2020-03-12,2.4000000953674316
2020-03-13,2.569999933242798
2020-03-16,2.3499999046325684
2020-03-17,2.259999990463257
2020-03-18,2.259999990463257
2020-03-19,2.2100000381469727
2020-03-20,2.259999990463257
2020-03-23,2.180000066757202
2020-03-24,2.3299999237060547
2020-03-25,2.3399999141693115
2020-03-26,2.5799999237060547
2020-03-27,2.5
2020-03-30,2.509999990463257
2020-03-31,2.640000104904175
2020-04-01,2.5999999046325684
2020-04-02,2.569999933242798
2020-04-03,2.5799999237060547
2020-04-06,2.7200000286102295
2020-04-07,2.740000009536743
2020-04-08,2.7300000190734863
2020-04-09,3.0
2020-04-10,2.9800000190734863
2020-04-13,2.990000009536743
2020-04-14,3.0299999713897705
2020-04-15,2.9000000953674316
2020-04-16,2.9600000381469727
2020-04-17,3.009999990463257
2020-04-20,3.0899999141693115
2020-04-21,3.180000066757202
2020-04-22,3.2699999809265137
2020-04-24,3.5799999237060547
2020-04-27,3.5299999713897705
2020-04-28,3.5999999046325684
2020-04-29,3.569999933242798
2020-04-30,3.4800000190734863
2020-05-04,3.4000000953674316
2020-05-05,3.4100000858306885
2020-05-06,3.4600000381469727
2020-05-07,3.4800000190734863
2020-05-08,3.440000057220459
2020-05-11,3.490000009536743
2020-05-12,3.559999942779541
2020-05-13,3.5899999141693115
2020-05-14,3.5299999713897705
2020-05-15,3.609999895095825
2020-05-18,3.740000009536743
2020-05-20,3.799999952316284
2020-05-21,3.7899999618530273
2020-05-22,3.8499999046325684
2020-05-27,4.230000019073486
2020-05-28,4.099999904632568
2020-05-29,4.309999942779541
2020-06-01,4.449999809265137
2020-06-02,4.369999885559082
2020-06-03,4.389999866485596
2020-06-04,4.340000152587891
2020-06-05,4.300000190734863
2020-06-08,4.329999923706055
2020-06-09,4.320000171661377
2020-06-10,4.349999904632568
2020-06-11,4.28000020980835
2020-06-12,4.269999980926514
2020-06-15,4.179999828338623
2020-06-16,4.389999866485596
2020-06-17,4.360000133514404
2020-06-18,4.420000076293945
2020-06-19,4.449999809265137
2020-06-22,4.550000190734863
2020-06-23,4.449999809265137
2020-06-24,4.400000095367432
2020-06-25,4.389999866485596
2020-06-26,4.369999885559082
2020-06-29,4.360000133514404
2020-06-30,4.630000114440918
2020-07-01,4.519999980926514
2020-07-02,4.610000133514404
2020-07-03,4.679999828338623
2020-07-06,4.840000152587891
2020-07-07,4.809999942779541
2020-07-08,4.929999828338623
2020-07-09,4.739999771118164
2020-07-10,4.429999828338623
2020-07-13,4.699999809265137
2020-07-14,5.139999866485596
2020-07-16,5.650000095367432
2020-07-17,5.5
2020-07-20,5.610000133514404
2020-07-21,6.170000076293945
2020-07-22,6.78000020980835
2020-07-23,6.800000190734863
2020-07-24,6.820000171661377
2020-07-27,7.480000019073486
2020-07-28,8.220000267028809
2020-07-29,7.440000057220459
2020-07-30,7.559999942779541
2020-08-04,7.400000095367432
2020-08-05,7.739999771118164
2020-08-06,7.769999980926514
2020-08-07,8.170000076293945
2020-08-10,7.909999847412109
2020-08-11,7.110000133514404
2020-08-12,6.400000095367432
2020-08-13,6.090000152587891
2020-08-14,6.110000133514404
2020-08-17,5.900000095367432
2020-08-18,5.849999904632568
2020-08-19,5.900000095367432
2020-08-20,5.96999979019165
2020-08-21,6.190000057220459
2020-08-24,6.590000152587891
2020-08-25,6.579999923706055
2020-08-26,6.53000020980835
2020-08-27,6.650000095367432
2020-08-28,6.590000152587891
2020-08-31,7.099999904632568
2020-09-01,7.800000190734863
2020-09-02,7.800000190734863
2020-09-03,7.579999923706055
2020-09-04,8.319999694824219
2020-09-07,8.579999923706055
2020-09-08,8.579999923706055
2020-09-09,8.489999771118164
2020-09-10,8.979999542236328
2020-09-11,8.600000381469727
2020-09-14,9.520000457763672
2020-09-15,10.470000267028809
2020-09-16,9.430000305175781
2020-09-17,8.489999771118164
2020-09-18,7.650000095367432
2020-09-21,6.889999866485596
2020-09-22,7.079999923706055
2020-09-23,6.699999809265137
2020-09-24,6.590000152587891
2020-09-25,6.760000228881836
