Date,TUPRS.IS
2020-01-02,128.0
2020-01-03,125.69999694824219
2020-01-06,123.69999694824219
2020-01-07,122.9000015258789
2020-01-08,120.4000015258789
2020-01-09,125.0999984741211
2020-01-10,125.30000305175781
2020-01-13,125.69999694824219
2020-01-14,124.0
2020-01-15,123.5
2020-01-16,122.4000015258789
2020-01-17,121.0999984741211
2020-01-20,121.9000015258789
2020-01-21,121.5
2020-01-22,121.5
2020-01-23,120.69999694824219
2020-01-24,119.5999984741211
2020-01-27,115.9000015258789
2020-01-28,115.5
2020-01-29,114.19999694824219
2020-01-30,115.19999694824219
2020-01-31,112.80000305175781
2020-02-03,112.4000015258789
2020-02-04,113.30000305175781
2020-02-05,114.0999984741211
2020-02-06,113.69999694824219
2020-02-07,113.0999984741211
2020-02-10,110.69999694824219
2020-02-11,112.80000305175781
2020-02-12,115.0
2020-02-13,112.19999694824219
2020-02-14,110.0
2020-02-17,112.0
2020-02-18,110.0
2020-02-19,111.0
2020-02-20,110.30000305175781
2020-02-21,111.5999984741211
2020-02-24,110.5999984741211
2020-02-25,109.5
2020-02-26,109.19999694824219
2020-02-27,102.9000015258789
2020-02-28,101.19999694824219
2020-03-02,101.5
2020-03-03,101.9000015258789
2020-03-04,100.19999694824219
2020-03-05,99.75
2020-03-06,95.0
2020-03-09,93.6500015258789
2020-03-10,92.55000305175781
2020-03-11,92.55000305175781
2020-03-12,84.0
2020-03-13,85.5999984741211
2020-03-16,79.0
2020-03-17,72.9000015258789
2020-03-18,69.5999984741211
2020-03-19,67.0999984741211
2020-03-20,68.69999694824219
2020-03-23,69.1500015258789
2020-03-24,73.8499984741211
2020-03-25,75.25
2020-03-26,78.5
2020-03-27,76.44999694824219
2020-03-30,74.5
2020-03-31,75.8499984741211
2020-04-01,78.0
2020-04-02,82.6500015258789
2020-04-03,84.9000015258789
2020-04-06,85.30000305175781
2020-04-07,90.19999694824219
2020-04-08,90.9000015258789
2020-04-09,95.19999694824219
2020-04-10,93.0999984741211
2020-04-13,90.5
2020-04-14,91.0999984741211
2020-04-15,87.44999694824219
2020-04-16,85.1500015258789
2020-04-17,87.3499984741211
2020-04-20,86.94999694824219
2020-04-21,84.44999694824219
2020-04-22,85.5999984741211
2020-04-24,85.75
2020-04-27,85.8499984741211
2020-04-28,86.25
2020-04-29,89.0999984741211
2020-04-30,90.4000015258789
2020-05-04,86.55000305175781
2020-05-05,86.75
2020-05-06,85.1500015258789
2020-05-07,85.0
2020-05-08,85.0
2020-05-11,84.8499984741211
2020-05-12,85.1500015258789
2020-05-13,84.44999694824219
2020-05-14,82.5999984741211
2020-05-15,81.9000015258789
2020-05-18,81.6500015258789
2020-05-20,80.69999694824219
2020-05-21,79.25
2020-05-22,80.25
2020-05-27,83.94999694824219
2020-05-28,85.55000305175781
2020-05-29,85.6500015258789
2020-06-01,88.9000015258789
2020-06-02,89.75
2020-06-03,88.0999984741211
2020-06-04,86.5999984741211
2020-06-05,89.30000305175781
2020-06-08,89.30000305175781
2020-06-09,88.8499984741211
2020-06-10,88.55000305175781
2020-06-11,87.0
2020-06-12,87.44999694824219
2020-06-15,86.05000305175781
2020-06-16,87.3499984741211
2020-06-17,86.5
2020-06-18,87.0
2020-06-19,88.5999984741211
2020-06-22,90.0999984741211
2020-06-23,89.69999694824219
2020-06-24,89.19999694824219
2020-06-25,88.80000305175781
2020-06-26,89.3499984741211
2020-06-29,89.8499984741211
2020-06-30,90.0
2020-07-01,87.44999694824219
2020-07-02,88.0
2020-07-03,86.80000305175781
2020-07-06,86.94999694824219
2020-07-07,88.80000305175781
2020-07-08,88.1500015258789
2020-07-09,86.55000305175781
2020-07-10,85.69999694824219
2020-07-13,87.6500015258789
2020-07-14,86.30000305175781
2020-07-16,86.9000015258789
2020-07-17,86.8499984741211
2020-07-20,86.30000305175781
2020-07-21,86.4000015258789
2020-07-22,86.55000305175781
2020-07-23,87.75
2020-07-24,87.25
2020-07-27,87.1500015258789
2020-07-28,84.44999694824219
2020-07-29,82.44999694824219
2020-07-30,82.55000305175781
2020-08-04,79.05000305175781
2020-08-05,79.6500015258789
2020-08-06,76.5999984741211
2020-08-07,78.05000305175781
2020-08-10,76.19999694824219
2020-08-11,77.6500015258789
2020-08-12,77.75
2020-08-13,78.44999694824219
2020-08-14,78.3499984741211
2020-08-17,80.80000305175781
2020-08-18,79.94999694824219
2020-08-19,85.9000015258789
2020-08-20,92.1500015258789
2020-08-21,83.0
2020-08-24,84.25
2020-08-25,82.9000015258789
2020-08-26,81.94999694824219
2020-08-27,83.6500015258789
2020-08-28,83.0
2020-08-31,80.0
2020-09-01,80.94999694824219
2020-09-02,80.0999984741211
2020-09-03,79.30000305175781
2020-09-04,80.05000305175781
2020-09-07,80.55000305175781
2020-09-08,79.25
2020-09-09,84.80000305175781
2020-09-10,81.19999694824219
2020-09-11,81.0999984741211
2020-09-14,81.5
2020-09-15,81.1500015258789
2020-09-16,81.0
2020-09-17,80.55000305175781
2020-09-18,80.6500015258789
2020-09-21,78.94999694824219
2020-09-22,79.30000305175781
2020-09-23,79.30000305175781
2020-09-24,79.80000305175781
2020-09-25,80.4000015258789
2020-09-28,79.4000015258789
2020-09-29,79.1500015258789
2020-09-30,79.69999694824219
2020-10-01,79.6500015258789
2020-10-02,79.5999984741211
2020-10-05,79.94999694824219
2020-10-06,80.0999984741211
2020-10-07,80.3499984741211
2020-10-08,81.94999694824219
2020-10-09,83.25
2020-10-12,81.3499984741211
2020-10-13,80.3499984741211
2020-10-14,83.5999984741211
2020-10-15,81.44999694824219
