Date,TUKAS.IS
2020-01-02,12.350000381469727
2020-01-03,12.180000305175781
2020-01-06,11.020000457763672
2020-01-07,11.59000015258789
2020-01-08,11.65999984741211
2020-01-09,11.979999542236328
2020-01-10,11.979999542236328
2020-01-13,11.880000114440918
2020-01-14,12.149999618530273
2020-01-15,12.399999618530273
2020-01-16,12.359999656677246
2020-01-17,12.869999885559082
2020-01-20,13.4399995803833
2020-01-21,13.819999694824219
2020-01-22,14.1899995803833
2020-01-23,14.380000114440918
2020-01-24,15.550000190734863
2020-01-27,15.8100004196167
2020-01-28,15.369999885559082
2020-01-29,15.5
2020-01-30,14.399999618530273
2020-01-31,14.579999923706055
2020-02-03,14.829999923706055
2020-02-04,15.3100004196167
2020-02-05,15.619999885559082
2020-02-06,15.869999885559082
2020-02-07,16.450000762939453
2020-02-10,15.220000267028809
2020-02-11,15.850000381469727
2020-02-12,15.25
2020-02-13,15.300000190734863
2020-02-14,12.680000305175781
2020-02-17,12.630000114440918
2020-02-18,12.680000305175781
2020-02-19,12.0
2020-02-20,10.890000343322754
2020-02-21,11.649999618530273
2020-02-24,10.84000015258789
2020-02-25,10.680000305175781
2020-02-26,11.390000343322754
2020-02-27,10.899999618530273
2020-02-28,10.949999809265137
2020-03-02,11.199999809265137
2020-03-03,11.229999542236328
2020-03-04,11.5
2020-03-05,12.100000381469727
2020-03-06,12.470000267028809
2020-03-09,12.029999732971191
2020-03-10,11.600000381469727
2020-03-11,11.600000381469727
2020-03-12,10.710000038146973
2020-03-13,10.220000267028809
2020-03-16,9.09000015258789
2020-03-17,8.1899995803833
2020-03-18,7.849999904632568
2020-03-19,8.800000190734863
2020-03-20,8.600000381469727
2020-03-23,8.329999923706055
2020-03-24,8.550000190734863
2020-03-25,8.640000343322754
2020-03-26,8.699999809265137
2020-03-27,8.5
2020-03-30,8.680000305175781
2020-03-31,8.680000305175781
2020-04-01,8.550000190734863
2020-04-02,8.550000190734863
2020-04-03,8.550000190734863
2020-04-06,9.359999656677246
2020-04-07,9.270000457763672
2020-04-08,10.149999618530273
2020-04-09,10.199999809265137
2020-04-10,11.199999809265137
2020-04-13,12.199999809265137
2020-04-14,11.899999618530273
2020-04-15,12.5
2020-04-16,12.699999809265137
2020-04-17,12.510000228881836
2020-04-20,12.5
2020-04-21,12.640000343322754
2020-04-22,12.5
2020-04-24,13.289999961853027
2020-04-27,14.300000190734863
2020-04-28,14.289999961853027
2020-04-29,14.4399995803833
2020-04-30,14.229999542236328
2020-05-04,14.399999618530273
2020-05-05,14.6899995803833
2020-05-06,15.300000190734863
2020-05-07,15.199999809265137
2020-05-08,15.180000305175781
2020-05-11,14.699999809265137
2020-05-12,14.699999809265137
2020-05-13,15.600000381469727
2020-05-14,17.020000457763672
2020-05-15,17.450000762939453
2020-05-18,15.680000305175781
2020-05-20,14.119999885559082
2020-05-21,12.710000038146973
2020-05-22,11.59000015258789
2020-05-27,10.520000457763672
2020-05-28,9.470000267028809
2020-05-29,8.550000190734863
2020-06-01,8.550000190734863
2020-06-02,8.550000190734863
2020-06-03,9.399999618530273
2020-06-04,9.199999809265137
2020-06-05,9.0
2020-06-08,8.970000267028809
2020-06-09,9.420000076293945
2020-06-10,9.300000190734863
2020-06-11,9.050000190734863
2020-06-12,9.050000190734863
2020-06-15,9.069999694824219
2020-06-16,9.279999732971191
2020-06-17,9.15999984741211
2020-06-18,9.109999656677246
2020-06-19,9.029999732971191
2020-06-22,9.0
2020-06-23,9.069999694824219
2020-06-24,9.0
2020-06-25,8.949999809265137
2020-06-26,8.989999771118164
2020-06-29,9.010000228881836
2020-06-30,9.010000228881836
2020-07-01,8.920000076293945
2020-07-02,8.949999809265137
2020-07-03,8.899999618530273
2020-07-06,9.3100004196167
2020-07-07,9.069999694824219
2020-07-08,8.979999542236328
2020-07-09,8.819999694824219
2020-07-10,8.670000076293945
2020-07-13,8.869999885559082
2020-07-14,8.789999961853027
2020-07-16,8.779999732971191
2020-07-17,8.800000190734863
2020-07-20,8.779999732971191
2020-07-21,8.680000305175781
2020-07-22,8.720000267028809
2020-07-23,8.720000267028809
2020-07-24,8.6899995803833
2020-07-27,8.680000305175781
2020-07-28,8.489999771118164
2020-07-29,8.380000114440918
2020-07-30,8.850000381469727
2020-08-04,9.010000228881836
2020-08-05,8.859999656677246
2020-08-06,8.25
2020-08-07,8.539999961853027
2020-08-10,8.520000457763672
2020-08-11,8.729999542236328
2020-08-12,9.34000015258789
2020-08-13,8.899999618530273
2020-08-14,8.9399995803833
2020-08-17,8.899999618530273
2020-08-18,8.869999885559082
2020-08-19,8.869999885559082
2020-08-20,8.789999961853027
2020-08-21,8.760000228881836
2020-08-24,8.979999542236328
2020-08-25,8.789999961853027
2020-08-26,8.829999923706055
2020-08-27,8.960000038146973
2020-08-28,9.180000305175781
2020-08-31,10.09000015258789
2020-09-01,11.09000015258789
2020-09-02,10.569999694824219
2020-09-03,9.789999961853027
2020-09-04,9.84000015258789
2020-09-07,9.800000190734863
2020-09-08,9.979999542236328
2020-09-09,9.829999923706055
2020-09-10,9.739999771118164
2020-09-11,9.649999618530273
2020-09-14,9.84000015258789
2020-09-15,9.970000267028809
2020-09-16,9.979999542236328
2020-09-17,9.970000267028809
2020-09-18,9.880000114440918
2020-09-21,9.890000343322754
2020-09-22,9.880000114440918
2020-09-23,9.960000038146973
2020-09-24,10.010000228881836
2020-09-25,9.979999542236328
2020-09-28,9.829999923706055
2020-09-29,9.789999961853027
2020-09-30,9.90999984741211
2020-10-01,9.800000190734863
2020-10-02,9.800000190734863
