Date,BERA.IS
2020-01-02,3.8399999141693115
2020-01-03,3.6700000762939453
2020-01-06,3.390000104904175
2020-01-07,3.5299999713897705
2020-01-08,3.450000047683716
2020-01-09,3.5999999046325684
2020-01-10,3.5999999046325684
2020-01-13,3.7699999809265137
2020-01-14,3.700000047683716
2020-01-15,3.740000009536743
2020-01-16,3.880000114440918
2020-01-17,3.8499999046325684
2020-01-20,3.9200000762939453
2020-01-21,4.710000038146973
2020-01-22,4.230000019073486
2020-01-23,4.239999771118164
2020-01-24,4.320000171661377
2020-01-27,4.340000152587891
2020-01-28,4.409999847412109
2020-01-29,4.539999961853027
2020-01-30,4.349999904632568
2020-01-31,4.400000095367432
2020-02-03,4.420000076293945
2020-02-04,4.46999979019165
2020-02-05,4.559999942779541
2020-02-06,4.5
2020-02-07,4.420000076293945
2020-02-10,4.090000152587891
2020-02-11,4.150000095367432
2020-02-12,4.130000114440918
2020-02-13,4.170000076293945
2020-02-14,4.130000114440918
2020-02-17,4.139999866485596
2020-02-18,4.159999847412109
2020-02-19,4.039999961853027
2020-02-20,3.6700000762939453
2020-02-21,3.7699999809265137
2020-02-24,3.8399999141693115
2020-02-25,4.03000020980835
2020-02-26,3.9800000190734863
2020-02-27,3.700000047683716
2020-02-28,3.450000047683716
2020-03-02,3.5999999046325684
2020-03-03,3.759999990463257
2020-03-04,3.640000104904175
2020-03-05,3.690000057220459
2020-03-06,3.5399999618530273
2020-03-09,3.180000066757202
2020-03-10,2.9600000381469727
2020-03-11,2.9600000381469727
2020-03-12,2.3299999237060547
2020-03-13,2.509999990463257
2020-03-16,2.2699999809265137
2020-03-17,2.0799999237060547
2020-03-18,2.049999952316284
2020-03-19,2.049999952316284
2020-03-20,2.069999933242798
2020-03-23,2.119999885559082
2020-03-24,2.319999933242798
2020-03-25,2.4200000762939453
2020-03-26,2.6600000858306885
2020-03-27,2.549999952316284
2020-03-30,2.6500000953674316
2020-03-31,2.7899999618530273
2020-04-01,2.7200000286102295
2020-04-02,2.6700000762939453
2020-04-03,2.680000066757202
2020-04-06,2.819999933242798
2020-04-07,3.109999895095825
2020-04-08,3.059999942779541
2020-04-09,3.0999999046325684
2020-04-10,3.140000104904175
2020-04-13,3.140000104904175
2020-04-14,3.2300000190734863
2020-04-15,3.109999895095825
2020-04-16,3.180000066757202
2020-04-17,3.2300000190734863
2020-04-20,3.2899999618530273
2020-04-21,3.200000047683716
2020-04-22,3.2300000190734863
2020-04-24,3.359999895095825
2020-04-27,3.619999885559082
2020-04-28,3.490000009536743
2020-04-29,3.8299999237060547
2020-04-30,3.869999885559082
2020-05-04,3.680000066757202
2020-05-05,3.700000047683716
2020-05-06,3.640000104904175
2020-05-07,3.6600000858306885
2020-05-08,3.759999990463257
2020-05-11,3.809999942779541
2020-05-12,3.8499999046325684
2020-05-13,3.75
2020-05-14,3.630000114440918
2020-05-15,3.7200000286102295
2020-05-18,3.759999990463257
2020-05-20,3.8399999141693115
2020-05-21,3.759999990463257
2020-05-22,3.759999990463257
2020-05-27,3.8499999046325684
2020-05-28,4.039999961853027
2020-05-29,4.28000020980835
2020-06-01,4.230000019073486
2020-06-02,4.309999942779541
2020-06-03,4.429999828338623
2020-06-04,4.460000038146973
2020-06-05,4.329999923706055
2020-06-08,4.320000171661377
2020-06-09,4.360000133514404
2020-06-10,4.460000038146973
2020-06-11,4.559999942779541
2020-06-12,4.610000133514404
2020-06-15,4.539999961853027
2020-06-16,4.349999904632568
2020-06-17,4.349999904632568
2020-06-18,4.150000095367432
2020-06-19,4.190000057220459
2020-06-22,4.210000038146973
2020-06-23,4.230000019073486
2020-06-24,4.25
2020-06-25,4.170000076293945
2020-06-26,4.199999809265137
2020-06-29,4.260000228881836
2020-06-30,4.349999904632568
2020-07-01,4.429999828338623
2020-07-02,4.539999961853027
2020-07-03,4.579999923706055
2020-07-06,4.75
2020-07-07,4.800000190734863
2020-07-08,4.809999942779541
2020-07-09,5.289999961853027
2020-07-10,5.340000152587891
2020-07-13,5.460000038146973
2020-07-14,5.96999979019165
2020-07-16,6.559999942779541
2020-07-17,7.210000038146973
2020-07-20,7.929999828338623
2020-07-21,8.720000267028809
2020-07-22,8.15999984741211
2020-07-23,8.970000267028809
2020-07-24,8.270000457763672
2020-07-27,8.3100004196167
2020-07-28,8.029999732971191
2020-07-29,8.199999809265137
2020-07-30,8.199999809265137
2020-08-04,7.670000076293945
2020-08-05,7.159999847412109
2020-08-06,6.75
2020-08-07,7.579999923706055
2020-08-10,7.25
2020-08-11,7.059999942779541
2020-08-12,7.949999809265137
2020-08-13,8.239999771118164
2020-08-14,7.650000095367432
2020-08-17,7.46999979019165
2020-08-18,7.579999923706055
2020-08-19,7.769999980926514
2020-08-20,8.470000267028809
2020-08-21,8.829999923706055
2020-08-24,8.510000228881836
2020-08-25,8.350000381469727
2020-08-26,8.100000381469727
2020-08-27,8.109999656677246
2020-08-28,8.5
2020-08-31,8.529999732971191
2020-09-01,8.300000190734863
2020-09-02,9.149999618530273
2020-09-03,9.0
2020-09-04,9.579999923706055
2020-09-07,9.40999984741211
2020-09-08,9.15999984741211
2020-09-09,8.979999542236328
2020-09-10,9.300000190734863
2020-09-11,9.380000114440918
2020-09-14,9.260000228881836
2020-09-15,9.25
2020-09-16,9.739999771118164
2020-09-17,9.390000343322754
2020-09-18,9.34000015258789
2020-09-21,9.300000190734863
2020-09-22,9.319999694824219
2020-09-23,9.25
2020-09-24,9.100000381469727
2020-09-25,8.970000267028809
2020-09-28,9.4399995803833
2020-09-29,10.430000305175781
