Date,QUAGR.IS
2021-04-09,9.050000190734863
2021-04-12,9.954999923706055
2021-04-13,10.949999809265137
2021-04-14,12.039999961853027
2021-04-15,13.239999771118164
2021-04-16,14.5600004196167
2021-04-19,13.109999656677246
2021-04-20,11.819999694824219
2021-04-21,12.470000267028809
2021-04-22,11.829999923706055
2021-04-26,11.710000038146973
2021-04-27,11.119999885559082
2021-04-28,11.630000114440918
2021-04-29,11.539999961853027
2021-04-30,11.399999618530273
2021-05-03,11.930000305175781
2021-05-04,12.369999885559082
2021-05-05,12.5
2021-05-06,12.350000381469727
2021-05-07,12.359999656677246
2021-05-10,12.760000228881836
2021-05-11,12.979999542236328
2021-05-12,12.710000038146973
2021-05-17,12.420000076293945
2021-05-18,12.180000305175781
2021-05-20,12.300000190734863
2021-05-21,12.25
2021-05-24,12.109999656677246
2021-05-25,11.40999984741211
2021-05-26,11.859999656677246
2021-05-27,11.550000190734863
2021-05-28,11.800000190734863
2021-05-31,12.020000457763672
2021-06-01,11.970000267028809
2021-06-02,12.130000114440918
2021-06-03,11.930000305175781
2021-06-04,12.449999809265137
2021-06-07,13.1899995803833
2021-06-08,13.100000381469727
2021-06-09,14.109999656677246
2021-06-10,14.0
2021-06-11,13.510000228881836
2021-06-14,13.579999923706055
2021-06-15,13.470000267028809
2021-06-16,13.210000038146973
2021-06-17,12.9399995803833
2021-06-18,12.710000038146973
2021-06-21,13.069999694824219
2021-06-22,13.520000457763672
2021-06-23,13.529999732971191
2021-06-24,13.619999885559082
2021-06-25,13.75
2021-06-28,14.149999618530273
2021-06-29,13.75
2021-06-30,13.100000381469727
2021-07-01,13.609999656677246
2021-07-02,13.489999771118164
2021-07-05,13.390000343322754
2021-07-06,13.199999809265137
2021-07-07,13.239999771118164
2021-07-08,13.25
2021-07-09,13.100000381469727
2021-07-12,12.699999809265137
2021-07-13,12.020000457763672
2021-07-14,12.420000076293945
2021-07-16,12.449999809265137
2021-07-19,12.5
2021-07-26,12.5600004196167
2021-07-27,12.59000015258789
2021-07-28,12.640000343322754
2021-07-29,13.329999923706055
2021-07-30,13.25
2021-08-02,13.350000381469727
2021-08-03,14.039999961853027
2021-08-04,13.729999542236328
2021-08-05,13.600000381469727
2021-08-06,13.4399995803833
2021-08-09,13.539999961853027
2021-08-10,13.5
2021-08-11,12.949999809265137
2021-08-12,12.760000228881836
2021-08-13,12.90999984741211
2021-08-16,13.449999809265137
2021-08-17,13.069999694824219
2021-08-18,13.34000015258789
2021-08-19,12.84000015258789
2021-08-20,12.609999656677246
2021-08-23,12.550000190734863
2021-08-24,12.279999732971191
2021-08-25,12.180000305175781
2021-08-26,12.09000015258789
2021-08-27,12.600000381469727
2021-08-31,13.100000381469727
2021-09-01,12.899999618530273
2021-09-02,12.609999656677246
2021-09-03,12.449999809265137
2021-09-06,12.5
2021-09-07,12.449999809265137
2021-09-08,12.359999656677246
2021-09-09,12.460000038146973
2021-09-10,12.329999923706055
2021-09-13,12.34000015258789
2021-09-14,12.25
2021-09-15,12.199999809265137
2021-09-16,12.0600004196167
2021-09-17,12.029999732971191
2021-09-20,12.020000457763672
2021-09-21,12.289999961853027
2021-09-22,12.220000267028809
2021-09-23,12.569999694824219
2021-09-24,12.789999961853027
2021-09-27,13.050000190734863
2021-09-28,13.069999694824219
2021-09-29,13.130000114440918
2021-09-30,13.130000114440918
2021-10-01,12.75
2021-10-04,12.270000457763672
2021-10-05,12.239999771118164
2021-10-06,11.960000038146973
2021-10-07,11.899999618530273
2021-10-08,11.34000015258789
2021-10-11,11.020000457763672
2021-10-12,11.050000190734863
2021-10-13,10.850000381469727
2021-10-14,10.699999809265137
2021-10-15,10.699999809265137
2021-10-18,10.640000343322754
2021-10-19,10.819999694824219
2021-10-20,10.890000343322754
2021-10-21,10.850000381469727
2021-10-22,10.949999809265137
2021-10-25,10.890000343322754
2021-10-26,10.9399995803833
2021-10-27,11.229999542236328
2021-10-28,11.220000267028809
2021-11-01,11.329999923706055
2021-11-02,11.3100004196167
2021-11-03,11.3100004196167
2021-11-04,11.770000457763672
2021-11-05,11.760000228881836
2021-11-08,11.819999694824219
2021-11-09,11.5
2021-11-10,11.720000267028809
2021-11-11,11.5
2021-11-12,11.479999542236328
2021-11-15,11.489999771118164
2021-11-16,11.319999694824219
2021-11-17,11.25
2021-11-18,11.130000114440918
2021-11-19,11.199999809265137
2021-11-22,11.779999732971191
2021-11-23,11.619999885559082
2021-11-24,11.970000267028809
2021-11-25,11.789999961853027
2021-11-26,11.920000076293945
2021-11-29,12.670000076293945
2021-11-30,13.109999656677246
2021-12-01,14.420000076293945
2021-12-02,14.0
2021-12-03,14.460000038146973
2021-12-06,14.5
2021-12-07,14.5
2021-12-08,15.020000457763672
2021-12-09,15.100000381469727
2021-12-10,15.109999656677246
2021-12-13,14.850000381469727
2021-12-14,14.489999771118164
2021-12-15,13.899999618530273
2021-12-16,13.970000267028809
2021-12-17,12.6899995803833
2021-12-20,12.9399995803833
2021-12-21,12.489999771118164
2021-12-22,12.100000381469727
2021-12-23,11.789999961853027
2021-12-24,12.109999656677246
2021-12-27,12.260000228881836
2021-12-28,12.079999923706055
2021-12-29,12.0
2021-12-30,11.75
2021-12-31,12.170000076293945
2022-01-03,12.289999961853027
2022-01-04,12.640000343322754
2022-01-05,13.0
2022-01-06,12.680000305175781
2022-01-07,12.600000381469727
2022-01-10,12.420000076293945
2022-01-11,12.079999923706055
2022-01-12,12.430000305175781
2022-01-13,11.979999542236328
2022-01-14,12.15999984741211
2022-01-17,12.470000267028809
