Date,NATEN.IS
2020-01-02,12.529999732971191
2020-01-03,12.010000228881836
2020-01-06,11.600000381469727
2020-01-07,11.8100004196167
2020-01-08,11.529999732971191
2020-01-09,12.229999542236328
2020-01-10,12.729999542236328
2020-01-13,13.279999732971191
2020-01-14,15.930000305175781
2020-01-15,16.899999618530273
2020-01-16,16.510000228881836
2020-01-17,15.989999771118164
2020-01-20,16.520000457763672
2020-01-21,16.540000915527344
2020-01-22,16.399999618530273
2020-01-23,19.530000686645508
2020-01-24,21.559999465942383
2020-01-27,22.040000915527344
2020-01-28,21.200000762939453
2020-01-29,19.3799991607666
2020-01-30,15.609999656677246
2020-01-31,18.719999313354492
2020-02-03,20.18000030517578
2020-02-04,19.850000381469727
2020-02-05,18.899999618530273
2020-02-06,19.110000610351562
2020-02-07,18.780000686645508
2020-02-10,18.399999618530273
2020-02-11,18.899999618530273
2020-02-12,19.969999313354492
2020-02-13,21.0
2020-02-14,20.920000076293945
2020-02-17,21.0
2020-02-18,20.940000534057617
2020-02-19,19.280000686645508
2020-02-20,19.239999771118164
2020-02-21,20.280000686645508
2020-02-24,19.93000030517578
2020-02-25,19.829999923706055
2020-02-26,19.440000534057617
2020-02-27,17.90999984741211
2020-02-28,17.0
2020-03-02,18.15999984741211
2020-03-03,19.309999465942383
2020-03-04,18.450000762939453
2020-03-05,18.639999389648438
2020-03-06,19.469999313354492
2020-03-09,17.75
2020-03-10,16.5
2020-03-11,16.5
2020-03-12,12.350000381469727
2020-03-13,13.390000343322754
2020-03-16,12.0600004196167
2020-03-17,10.859999656677246
2020-03-18,10.0600004196167
2020-03-19,9.180000305175781
2020-03-20,10.020000457763672
2020-03-23,10.649999618530273
2020-03-24,11.699999809265137
2020-03-25,12.869999885559082
2020-03-26,14.149999618530273
2020-03-27,15.180000305175781
2020-03-30,14.899999618530273
2020-03-31,16.31999969482422
2020-04-01,15.850000381469727
2020-04-02,16.280000686645508
2020-04-03,16.170000076293945
2020-04-06,17.25
2020-04-07,17.149999618530273
2020-04-08,16.799999237060547
2020-04-09,16.829999923706055
2020-04-10,16.639999389648438
2020-04-13,16.670000076293945
2020-04-14,16.360000610351562
2020-04-15,15.09000015258789
2020-04-16,15.300000190734863
2020-04-17,15.569999694824219
2020-04-20,16.079999923706055
2020-04-21,15.680000305175781
2020-04-22,15.65999984741211
2020-04-24,16.440000534057617
2020-04-27,18.110000610351562
2020-04-28,19.75
2020-04-29,18.93000030517578
2020-04-30,17.229999542236328
2020-05-04,16.790000915527344
2020-05-05,18.3799991607666
2020-05-06,18.760000228881836
2020-05-07,18.229999542236328
2020-05-08,18.190000534057617
2020-05-11,17.989999771118164
2020-05-12,17.950000762939453
2020-05-13,17.920000076293945
2020-05-14,18.549999237060547
2020-05-15,18.600000381469727
2020-05-18,18.670000076293945
2020-05-20,18.6200008392334
2020-05-21,18.219999313354492
2020-05-22,17.969999313354492
2020-05-27,18.200000762939453
2020-05-28,18.110000610351562
2020-05-29,18.040000915527344
2020-06-01,17.93000030517578
2020-06-02,17.90999984741211
2020-06-03,18.049999237060547
2020-06-04,18.280000686645508
2020-06-05,18.65999984741211
2020-06-08,18.1299991607666
2020-06-09,17.799999237060547
2020-06-10,18.079999923706055
2020-06-11,18.200000762939453
2020-06-12,18.0
2020-06-15,17.719999313354492
2020-06-16,18.299999237060547
2020-06-17,18.079999923706055
2020-06-18,18.18000030517578
2020-06-19,18.299999237060547
2020-06-22,18.450000762939453
2020-06-23,18.149999618530273
2020-06-24,17.950000762939453
2020-06-25,18.299999237060547
2020-06-26,18.600000381469727
2020-06-29,19.329999923706055
2020-06-30,21.219999313354492
2020-07-01,22.520000457763672
2020-07-02,21.920000076293945
2020-07-03,22.200000762939453
2020-07-06,24.360000610351562
2020-07-07,26.440000534057617
2020-07-08,26.1200008392334
2020-07-09,24.239999771118164
2020-07-10,25.420000076293945
2020-07-13,26.219999313354492
2020-07-14,25.219999313354492
2020-07-16,24.799999237060547
2020-07-17,25.65999984741211
2020-07-20,25.34000015258789
2020-07-21,24.959999084472656
2020-07-22,24.84000015258789
2020-07-23,25.1200008392334
2020-07-24,24.920000076293945
2020-07-27,24.799999237060547
2020-07-28,23.280000686645508
2020-07-29,23.299999237060547
2020-07-30,23.959999084472656
2020-08-04,22.399999618530273
2020-08-05,22.020000457763672
2020-08-06,20.0
2020-08-07,22.040000915527344
2020-08-10,23.0
2020-08-11,23.020000457763672
2020-08-12,23.479999542236328
2020-08-13,23.639999389648438
2020-08-14,22.760000228881836
2020-08-17,22.280000686645508
2020-08-18,22.34000015258789
2020-08-19,24.579999923706055
2020-08-20,25.719999313354492
2020-08-21,23.299999237060547
2020-08-24,23.079999923706055
2020-08-25,22.920000076293945
2020-08-26,22.600000381469727
2020-08-27,23.059999465942383
2020-08-28,23.15999984741211
2020-08-31,22.899999618530273
2020-09-01,22.959999084472656
2020-09-02,22.920000076293945
2020-09-03,22.700000762939453
2020-09-04,22.420000076293945
2020-09-07,22.700000762939453
2020-09-08,23.5
2020-09-09,24.459999084472656
2020-09-10,23.459999084472656
2020-09-11,23.639999389648438
2020-09-14,23.639999389648438
2020-09-15,23.639999389648438
2020-09-16,25.139999389648438
2020-09-17,26.600000381469727
2020-09-18,25.639999389648438
2020-09-21,26.65999984741211
2020-09-22,29.260000228881836
2020-09-23,28.65999984741211
2020-09-24,29.34000015258789
2020-09-25,30.6200008392334
2020-09-28,33.7400016784668
2020-09-29,37.099998474121094
2020-09-30,40.79999923706055
2020-10-01,36.720001220703125
2020-10-02,38.279998779296875
