Date,CIMSA.IS
2020-01-02,9.3100004196167
2020-01-03,9.09000015258789
2020-01-06,8.899999618530273
2020-01-07,8.960000038146973
2020-01-08,8.770000457763672
2020-01-09,9.15999984741211
2020-01-10,9.199999809265137
2020-01-13,9.430000305175781
2020-01-14,9.4399995803833
2020-01-15,9.479999542236328
2020-01-16,9.529999732971191
2020-01-17,9.5
2020-01-20,9.649999618530273
2020-01-21,9.649999618530273
2020-01-22,9.399999618530273
2020-01-23,9.449999809265137
2020-01-24,9.4399995803833
2020-01-27,9.859999656677246
2020-01-28,10.270000457763672
2020-01-29,10.270000457763672
2020-01-30,9.760000228881836
2020-01-31,9.850000381469727
2020-02-03,9.819999694824219
2020-02-04,10.09000015258789
2020-02-05,10.010000228881836
2020-02-06,9.989999771118164
2020-02-07,9.960000038146973
2020-02-10,9.569999694824219
2020-02-11,9.649999618530273
2020-02-12,9.649999618530273
2020-02-13,9.699999809265137
2020-02-14,9.619999885559082
2020-02-17,9.829999923706055
2020-02-18,9.720000267028809
2020-02-19,9.710000038146973
2020-02-20,9.180000305175781
2020-02-21,9.489999771118164
2020-02-24,9.390000343322754
2020-02-25,9.279999732971191
2020-02-26,9.279999732971191
2020-02-27,9.020000457763672
2020-02-28,9.0600004196167
2020-03-02,9.220000267028809
2020-03-03,9.420000076293945
2020-03-04,9.369999885559082
2020-03-05,9.25
2020-03-06,8.960000038146973
2020-03-09,8.199999809265137
2020-03-10,8.020000457763672
2020-03-11,8.020000457763672
2020-03-12,7.0
2020-03-13,6.78000020980835
2020-03-16,6.099999904632568
2020-03-17,5.909999847412109
2020-03-18,5.829999923706055
2020-03-19,5.809999942779541
2020-03-20,6.039999961853027
2020-03-23,5.96999979019165
2020-03-24,6.269999980926514
2020-03-25,6.159999847412109
2020-03-26,6.519999980926514
2020-03-27,6.159999847412109
2020-03-30,6.170000076293945
2020-03-31,6.320000171661377
2020-04-01,6.269999980926514
2020-04-02,6.239999771118164
2020-04-03,6.369999885559082
2020-04-06,6.809999942779541
2020-04-07,6.710000038146973
2020-04-08,6.699999809265137
2020-04-09,6.909999847412109
2020-04-10,6.929999828338623
2020-04-13,6.929999828338623
2020-04-14,7.110000133514404
2020-04-15,6.920000076293945
2020-04-16,6.960000038146973
2020-04-17,7.050000190734863
2020-04-20,7.269999980926514
2020-04-21,7.179999828338623
2020-04-22,7.21999979019165
2020-04-24,7.239999771118164
2020-04-27,7.389999866485596
2020-04-28,7.550000190734863
2020-04-29,7.679999828338623
2020-04-30,7.75
2020-05-04,7.920000076293945
2020-05-05,7.630000114440918
2020-05-06,7.46999979019165
2020-05-07,7.570000171661377
2020-05-08,7.550000190734863
2020-05-11,7.5
2020-05-12,7.579999923706055
2020-05-13,7.570000171661377
2020-05-14,7.489999771118164
2020-05-15,7.510000228881836
2020-05-18,7.789999961853027
2020-05-20,7.829999923706055
2020-05-21,7.739999771118164
2020-05-22,7.730000019073486
2020-05-27,8.0
2020-05-28,7.960000038146973
2020-05-29,7.96999979019165
2020-06-01,8.550000190734863
2020-06-02,9.289999961853027
2020-06-03,8.920000076293945
2020-06-04,9.079999923706055
2020-06-05,8.880000114440918
2020-06-08,8.9399995803833
2020-06-09,8.819999694824219
2020-06-10,9.229999542236328
2020-06-11,9.270000457763672
2020-06-12,9.239999771118164
2020-06-15,9.100000381469727
2020-06-16,9.359999656677246
2020-06-17,9.3100004196167
2020-06-18,9.420000076293945
2020-06-19,9.470000267028809
2020-06-22,9.489999771118164
2020-06-23,9.579999923706055
2020-06-24,9.770000457763672
2020-06-25,9.630000114440918
2020-06-26,9.739999771118164
2020-06-29,9.75
2020-06-30,9.930000305175781
2020-07-01,10.329999923706055
2020-07-02,10.350000381469727
2020-07-03,10.260000228881836
2020-07-06,10.640000343322754
2020-07-07,11.369999885559082
2020-07-08,11.149999618530273
2020-07-09,10.670000076293945
2020-07-10,10.449999809265137
2020-07-13,11.010000228881836
2020-07-14,10.880000114440918
2020-07-16,10.899999618530273
2020-07-17,10.970000267028809
2020-07-20,11.130000114440918
2020-07-21,11.329999923706055
2020-07-22,11.109999656677246
2020-07-23,11.3100004196167
2020-07-24,11.270000457763672
2020-07-27,11.59000015258789
2020-07-28,11.5
2020-07-29,11.680000305175781
2020-07-30,11.619999885559082
2020-08-04,10.569999694824219
2020-08-05,10.399999618530273
2020-08-06,9.420000076293945
2020-08-07,9.920000076293945
2020-08-10,10.170000076293945
2020-08-11,11.1899995803833
2020-08-12,11.720000267028809
2020-08-13,12.489999771118164
2020-08-14,11.84000015258789
2020-08-17,11.460000038146973
2020-08-18,11.869999885559082
2020-08-19,11.800000190734863
2020-08-20,12.140000343322754
2020-08-21,11.989999771118164
2020-08-24,11.970000267028809
2020-08-25,11.770000457763672
2020-08-26,11.65999984741211
2020-08-27,11.770000457763672
2020-08-28,11.729999542236328
2020-08-31,11.40999984741211
2020-09-01,11.260000228881836
2020-09-02,11.34000015258789
2020-09-03,11.229999542236328
2020-09-04,11.260000228881836
2020-09-07,11.380000114440918
2020-09-08,11.399999618530273
2020-09-09,11.649999618530273
2020-09-10,11.529999732971191
2020-09-11,11.569999694824219
2020-09-14,11.670000076293945
2020-09-15,11.760000228881836
2020-09-16,12.180000305175781
2020-09-17,12.5
2020-09-18,12.630000114440918
2020-09-21,12.079999923706055
2020-09-22,12.479999542236328
2020-09-23,12.430000305175781
2020-09-24,12.460000038146973
2020-09-25,12.430000305175781
2020-09-28,13.09000015258789
2020-09-29,13.279999732971191
2020-09-30,14.720000267028809
2020-10-01,13.569999694824219
