Date,ALGYO.IS
2020-01-02,15.16579818725586
2020-01-03,14.041179656982422
2020-01-06,15.893491744995117
2020-01-07,16.075414657592773
2020-01-08,15.38079833984375
2020-01-09,15.587529182434082
2020-01-10,15.876953125
2020-01-13,15.785990715026855
2020-01-14,15.579259872436523
2020-01-15,15.215413093566895
2020-01-16,15.091375350952148
2020-01-17,14.876374244689941
2020-01-20,14.96733570098877
2020-01-21,15.16579818725586
2020-01-22,15.074835777282715
2020-01-23,15.529644966125488
2020-01-24,15.231951713562012
2020-01-27,15.18233585357666
2020-01-28,15.116182327270508
2020-01-29,14.892912864685059
2020-01-30,14.52906608581543
2020-01-31,14.620027542114258
2020-02-03,14.892912864685059
2020-02-04,15.389067649841309
2020-02-05,15.207143783569336
2020-02-06,15.289836883544922
2020-02-07,15.306374549865723
2020-02-10,14.934259414672852
2020-02-11,15.198875427246094
2020-02-12,15.67849063873291
2020-02-13,15.612337112426758
2020-02-14,15.554451942443848
2020-02-17,15.38079833984375
2020-02-18,15.04175853729248
2020-02-19,14.74406623840332
2020-02-20,13.900603294372559
2020-02-21,14.47118091583252
2020-02-24,14.702719688415527
2020-02-25,17.65999984741211
2020-02-26,17.90999984741211
2020-02-27,15.329999923706055
2020-02-28,14.0600004196167
2020-03-02,14.699999809265137
2020-03-03,14.949999809265137
2020-03-04,14.380000114440918
2020-03-05,14.430000305175781
2020-03-06,13.819999694824219
2020-03-09,11.930000305175781
2020-03-10,10.760000228881836
2020-03-11,10.760000228881836
2020-03-12,9.119999885559082
2020-03-13,9.9399995803833
2020-03-16,9.329999923706055
2020-03-17,9.619999885559082
2020-03-18,9.760000228881836
2020-03-19,10.020000457763672
2020-03-20,10.300000190734863
2020-03-23,9.779999732971191
2020-03-24,10.4399995803833
2020-03-25,10.369999885559082
2020-03-26,10.710000038146973
2020-03-27,10.1899995803833
2020-03-30,10.319999694824219
2020-03-31,11.270000457763672
2020-04-01,11.359999656677246
2020-04-02,12.1899995803833
2020-04-03,13.0
2020-04-06,13.920000076293945
2020-04-07,13.510000228881836
2020-04-08,13.430000305175781
2020-04-09,13.420000076293945
2020-04-10,13.359999656677246
2020-04-13,13.329999923706055
2020-04-14,13.630000114440918
2020-04-15,12.949999809265137
2020-04-16,12.930000305175781
2020-04-17,13.109999656677246
2020-04-20,13.350000381469727
2020-04-21,13.100000381469727
2020-04-22,13.329999923706055
2020-04-24,13.75
2020-04-27,14.149999618530273
2020-04-28,13.880000114440918
2020-04-29,13.800000190734863
2020-04-30,14.359999656677246
2020-05-04,15.069999694824219
2020-05-05,14.850000381469727
2020-05-06,14.670000076293945
2020-05-07,14.460000038146973
2020-05-08,14.34000015258789
2020-05-11,14.3100004196167
2020-05-12,14.670000076293945
2020-05-13,14.800000190734863
2020-05-14,14.430000305175781
2020-05-15,14.569999694824219
2020-05-18,15.119999885559082
2020-05-20,15.1899995803833
2020-05-21,15.029999732971191
2020-05-22,14.899999618530273
2020-05-27,14.920000076293945
2020-05-28,14.6899995803833
2020-05-29,14.65999984741211
2020-06-01,15.100000381469727
2020-06-02,15.079999923706055
2020-06-03,15.1899995803833
2020-06-04,15.130000114440918
2020-06-05,15.09000015258789
2020-06-08,14.970000267028809
2020-06-09,14.779999732971191
2020-06-10,14.890000343322754
2020-06-11,14.819999694824219
2020-06-12,14.720000267028809
2020-06-15,14.5
2020-06-16,14.75
2020-06-17,14.899999618530273
2020-06-18,14.949999809265137
2020-06-19,14.760000228881836
2020-06-22,14.779999732971191
2020-06-23,14.760000228881836
2020-06-24,14.579999923706055
2020-06-25,14.4399995803833
2020-06-26,14.569999694824219
2020-06-29,14.619999885559082
2020-06-30,14.84000015258789
2020-07-01,15.739999771118164
2020-07-02,15.720000267028809
2020-07-03,15.720000267028809
2020-07-06,16.239999771118164
2020-07-07,17.860000610351562
2020-07-08,18.530000686645508
2020-07-09,17.280000686645508
2020-07-10,17.030000686645508
2020-07-13,18.270000457763672
2020-07-14,18.350000381469727
2020-07-16,18.459999084472656
2020-07-17,18.8700008392334
2020-07-20,19.739999771118164
2020-07-21,18.1200008392334
2020-07-22,17.899999618530273
2020-07-23,17.75
2020-07-24,17.360000610351562
2020-07-27,17.200000762939453
2020-07-28,16.700000762939453
2020-07-29,16.299999237060547
2020-07-30,16.579999923706055
2020-08-04,15.229999542236328
2020-08-05,14.789999961853027
2020-08-06,13.989999771118164
2020-08-07,14.550000190734863
2020-08-10,15.479999542236328
2020-08-11,15.489999771118164
2020-08-12,15.140000343322754
2020-08-13,14.819999694824219
2020-08-14,14.550000190734863
2020-08-17,15.0600004196167
2020-08-18,14.90999984741211
2020-08-19,14.890000343322754
2020-08-20,15.119999885559082
2020-08-21,15.109999656677246
2020-08-24,14.920000076293945
2020-08-25,14.609999656677246
2020-08-26,14.5
2020-08-27,14.550000190734863
2020-08-28,14.569999694824219
2020-08-31,14.109999656677246
2020-09-01,14.350000381469727
2020-09-02,14.199999809265137
2020-09-03,14.380000114440918
2020-09-04,14.399999618530273
2020-09-07,15.0
2020-09-08,14.899999618530273
2020-09-09,14.930000305175781
2020-09-10,14.850000381469727
2020-09-11,14.869999885559082
2020-09-14,15.5600004196167
2020-09-15,15.569999694824219
2020-09-16,15.460000038146973
2020-09-17,16.1200008392334
2020-09-18,16.209999084472656
2020-09-21,15.84000015258789
2020-09-22,15.800000190734863
2020-09-23,16.239999771118164
2020-09-24,16.5
2020-09-25,16.170000076293945
2020-09-28,16.3700008392334
2020-09-29,16.889999389648438
2020-09-30,17.280000686645508
2020-10-01,17.25
