Date,CEMTS.IS
2020-01-02,8.520000457763672
2020-01-03,8.220000267028809
2020-01-06,7.809999942779541
2020-01-07,7.880000114440918
2020-01-08,7.710000038146973
2020-01-09,7.989999771118164
2020-01-10,7.949999809265137
2020-01-13,8.149999618530273
2020-01-14,8.25
2020-01-15,8.5600004196167
2020-01-16,8.300000190734863
2020-01-17,8.15999984741211
2020-01-20,8.199999809265137
2020-01-21,8.3100004196167
2020-01-22,8.220000267028809
2020-01-23,8.149999618530273
2020-01-24,8.1899995803833
2020-01-27,8.210000038146973
2020-01-28,8.300000190734863
2020-01-29,8.34000015258789
2020-01-30,8.239999771118164
2020-01-31,8.199999809265137
2020-02-03,8.25
2020-02-04,8.569999694824219
2020-02-05,9.170000076293945
2020-02-06,9.199999809265137
2020-02-07,9.489999771118164
2020-02-10,9.260000228881836
2020-02-11,8.649999618530273
2020-02-12,8.350000381469727
2020-02-13,8.270000457763672
2020-02-14,8.149999618530273
2020-02-17,7.989999771118164
2020-02-18,7.710000038146973
2020-02-19,7.610000133514404
2020-02-20,7.099999904632568
2020-02-21,7.289999961853027
2020-02-24,7.210000038146973
2020-02-25,7.150000095367432
2020-02-26,7.090000152587891
2020-02-27,6.760000228881836
2020-02-28,6.409999847412109
2020-03-02,6.610000133514404
2020-03-03,6.730000019073486
2020-03-04,6.460000038146973
2020-03-05,6.400000095367432
2020-03-06,6.179999828338623
2020-03-09,5.710000038146973
2020-03-10,5.46999979019165
2020-03-11,5.46999979019165
2020-03-12,4.960000038146973
2020-03-13,5.21999979019165
2020-03-16,4.78000020980835
2020-03-17,4.619999885559082
2020-03-18,4.800000190734863
2020-03-19,4.679999828338623
2020-03-20,4.730000019073486
2020-03-23,4.489999771118164
2020-03-24,4.840000152587891
2020-03-25,4.96999979019165
2020-03-26,5.21999979019165
2020-03-27,5.070000171661377
2020-03-30,5.070000171661377
2020-03-31,5.570000171661377
2020-04-01,6.119999885559082
2020-04-02,6.099999904632568
2020-04-03,6.320000171661377
2020-04-06,6.409999847412109
2020-04-07,6.170000076293945
2020-04-08,6.090000152587891
2020-04-09,6.320000171661377
2020-04-10,6.360000133514404
2020-04-13,6.380000114440918
2020-04-14,6.429999828338623
2020-04-15,6.150000095367432
2020-04-16,6.460000038146973
2020-04-17,6.75
2020-04-20,6.820000171661377
2020-04-21,6.75
2020-04-22,6.769999980926514
2020-04-24,7.190000057220459
2020-04-27,7.550000190734863
2020-04-28,7.510000228881836
2020-04-29,7.369999885559082
2020-04-30,7.099999904632568
2020-05-04,6.760000228881836
2020-05-05,6.849999904632568
2020-05-06,7.070000171661377
2020-05-07,7.050000190734863
2020-05-08,6.860000133514404
2020-05-11,7.300000190734863
2020-05-12,7.420000076293945
2020-05-13,7.369999885559082
2020-05-14,7.099999904632568
2020-05-15,7.429999828338623
2020-05-18,7.639999866485596
2020-05-20,7.579999923706055
2020-05-21,7.489999771118164
2020-05-22,7.480000019073486
2020-05-27,7.610000133514404
2020-05-28,7.610000133514404
2020-05-29,7.53000020980835
2020-06-01,7.550000190734863
2020-06-02,7.869999885559082
2020-06-03,7.96999979019165
2020-06-04,7.840000152587891
2020-06-05,7.789999961853027
2020-06-08,8.149999618530273
2020-06-09,8.289999961853027
2020-06-10,8.470000267028809
2020-06-11,8.25
2020-06-12,8.239999771118164
2020-06-15,8.15999984741211
2020-06-16,8.229999542236328
2020-06-17,8.350000381469727
2020-06-18,8.460000038146973
2020-06-19,8.260000228881836
2020-06-22,8.210000038146973
2020-06-23,8.210000038146973
2020-06-24,8.09000015258789
2020-06-25,8.1899995803833
2020-06-26,8.149999618530273
2020-06-29,8.170000076293945
2020-06-30,8.270000457763672
2020-07-01,8.4399995803833
2020-07-02,8.649999618530273
2020-07-03,8.739999771118164
2020-07-06,9.140000343322754
2020-07-07,9.020000457763672
2020-07-08,8.970000267028809
2020-07-09,8.5600004196167
2020-07-10,8.25
2020-07-13,8.649999618530273
2020-07-14,8.65999984741211
2020-07-16,8.979999542236328
2020-07-17,9.020000457763672
2020-07-20,9.920000076293945
2020-07-21,9.930000305175781
2020-07-22,11.0
2020-07-23,11.390000343322754
2020-07-24,11.350000381469727
2020-07-27,11.699999809265137
2020-07-28,11.369999885559082
2020-07-29,11.569999694824219
2020-07-30,12.050000190734863
2020-08-04,10.979999542236328
