Date,ISMEN.IS
2020-01-02,4.599999904632568
2020-01-03,4.46999979019165
2020-01-06,4.300000190734863
2020-01-07,4.449999809265137
2020-01-08,4.369999885559082
2020-01-09,4.630000114440918
2020-01-10,4.570000171661377
2020-01-13,4.610000133514404
2020-01-14,4.699999809265137
2020-01-15,4.699999809265137
2020-01-16,4.619999885559082
2020-01-17,4.679999828338623
2020-01-20,4.880000114440918
2020-01-21,4.869999885559082
2020-01-22,4.789999961853027
2020-01-23,4.860000133514404
2020-01-24,4.860000133514404
2020-01-27,5.0
2020-01-28,5.090000152587891
2020-01-29,5.010000228881836
2020-01-30,4.869999885559082
2020-01-31,4.940000057220459
2020-02-03,5.119999885559082
2020-02-04,5.090000152587891
2020-02-05,5.110000133514404
2020-02-06,5.139999866485596
2020-02-07,5.179999828338623
2020-02-10,5.269999980926514
2020-02-11,5.289999961853027
2020-02-12,5.400000095367432
2020-02-13,5.269999980926514
2020-02-14,5.289999961853027
2020-02-17,5.170000076293945
2020-02-18,5.210000038146973
2020-02-19,5.179999828338623
2020-02-20,4.980000019073486
2020-02-21,5.170000076293945
2020-02-24,5.21999979019165
2020-02-25,5.239999771118164
2020-02-26,5.130000114440918
2020-02-27,4.989999771118164
2020-02-28,4.769999980926514
2020-03-02,4.789999961853027
2020-03-03,4.880000114440918
2020-03-04,4.78000020980835
2020-03-05,4.820000171661377
2020-03-06,4.599999904632568
2020-03-09,4.170000076293945
2020-03-10,4.019999980926514
2020-03-11,4.019999980926514
2020-03-12,3.7799999713897705
2020-03-13,3.930000066757202
2020-03-16,3.5299999713897705
2020-03-17,3.559999942779541
2020-03-18,3.5399999618530273
2020-03-19,3.8399999141693115
2020-03-20,3.9200000762939453
2020-03-23,3.75
2020-03-24,3.559999942779541
2020-03-25,3.559999942779541
2020-03-26,3.5999999046325684
2020-03-27,3.880000114440918
2020-03-30,4.239999771118164
2020-03-31,4.090000152587891
2020-04-01,3.9100000858306885
2020-04-02,3.8399999141693115
2020-04-03,3.859999895095825
2020-04-06,3.940000057220459
2020-04-07,3.9200000762939453
2020-04-08,4.03000020980835
2020-04-09,4.079999923706055
2020-04-10,4.230000019073486
2020-04-13,4.25
2020-04-14,4.309999942779541
2020-04-15,4.230000019073486
2020-04-16,4.449999809265137
2020-04-17,4.889999866485596
2020-04-20,5.0
2020-04-21,5.019999980926514
2020-04-22,4.96999979019165
2020-04-24,4.96999979019165
2020-04-27,5.050000190734863
2020-04-28,5.010000228881836
2020-04-29,5.21999979019165
2020-04-30,5.630000114440918
2020-05-04,5.440000057220459
2020-05-05,5.449999809265137
2020-05-06,5.369999885559082
2020-05-07,5.449999809265137
2020-05-08,5.440000057220459
2020-05-11,5.519999980926514
2020-05-12,5.489999771118164
2020-05-13,5.630000114440918
2020-05-14,5.619999885559082
2020-05-15,5.510000228881836
2020-05-18,5.53000020980835
2020-05-20,5.590000152587891
2020-05-21,5.670000076293945
2020-05-22,5.909999847412109
2020-05-27,5.880000114440918
2020-05-28,5.809999942779541
2020-05-29,5.840000152587891
2020-06-01,5.849999904632568
2020-06-02,5.789999961853027
2020-06-03,5.869999885559082
2020-06-04,5.920000076293945
2020-06-05,5.96999979019165
2020-06-08,5.96999979019165
2020-06-09,5.980000019073486
2020-06-10,5.989999771118164
2020-06-11,5.949999809265137
2020-06-12,5.900000095367432
2020-06-15,5.960000038146973
2020-06-16,6.03000020980835
2020-06-17,5.980000019073486
2020-06-18,6.050000190734863
2020-06-19,6.130000114440918
2020-06-22,6.150000095367432
2020-06-23,6.179999828338623
2020-06-24,6.059999942779541
2020-06-25,6.059999942779541
