Date,SARKY.IS
2020-01-02,2.4049999713897705
2020-01-03,2.319999933242798
2020-01-06,2.2850000858306885
2020-01-07,2.359999895095825
2020-01-08,2.325000047683716
2020-01-09,2.375
2020-01-10,2.365000009536743
2020-01-13,2.450000047683716
2020-01-14,2.440000057220459
2020-01-15,2.450000047683716
2020-01-16,2.680000066757202
2020-01-17,2.6600000858306885
2020-01-20,2.6549999713897705
2020-01-21,2.765000104904175
2020-01-22,2.8350000381469727
2020-01-23,2.8350000381469727
2020-01-24,2.8350000381469727
2020-01-27,3.2249999046325684
2020-01-28,3.2149999141693115
2020-01-29,3.130000114440918
2020-01-30,3.1500000953674316
2020-01-31,3.0950000286102295
2020-02-03,3.059999942779541
2020-02-04,3.0799999237060547
2020-02-05,3.005000114440918
2020-02-06,3.055000066757202
2020-02-07,3.005000114440918
2020-02-10,2.880000114440918
2020-02-11,3.0
2020-02-12,2.944999933242798
2020-02-13,2.9700000286102295
2020-02-14,2.940000057220459
2020-02-17,2.9600000381469727
2020-02-18,2.9049999713897705
2020-02-19,2.8450000286102295
2020-02-20,2.7100000381469727
2020-02-21,2.755000114440918
2020-02-24,2.740000009536743
2020-02-25,2.765000104904175
2020-02-26,2.7300000190734863
2020-02-27,2.6600000858306885
2020-02-28,2.509999990463257
2020-03-02,2.684999942779541
2020-03-03,2.75
2020-03-04,2.765000104904175
2020-03-05,2.740000009536743
2020-03-06,2.684999942779541
2020-03-09,2.509999990463257
2020-03-10,2.505000114440918
2020-03-11,2.505000114440918
2020-03-12,2.174999952316284
2020-03-13,2.2699999809265137
2020-03-16,2.119999885559082
2020-03-17,2.055000066757202
2020-03-18,2.015000104904175
2020-03-19,2.055000066757202
2020-03-20,2.0999999046325684
2020-03-23,2.059999942779541
2020-03-24,2.2049999237060547
2020-03-25,2.2200000286102295
2020-03-26,2.450000047683716
2020-03-27,2.4049999713897705
2020-03-30,2.450000047683716
2020-03-31,2.434999942779541
2020-04-01,2.484999895095825
2020-04-02,2.4200000762939453
2020-04-03,2.4700000286102295
2020-04-06,2.4600000381469727
2020-04-07,2.430000066757202
2020-04-08,2.424999952316284
2020-04-09,2.4600000381469727
2020-04-10,2.515000104904175
2020-04-13,2.575000047683716
2020-04-14,2.565000057220459
2020-04-15,2.4749999046325684
2020-04-16,2.490000009536743
2020-04-17,2.490000009536743
2020-04-20,2.6500000953674316
2020-04-21,2.5799999237060547
2020-04-22,2.640000104904175
2020-04-24,2.625
2020-04-27,2.6500000953674316
2020-04-28,2.6500000953674316
2020-04-29,2.8949999809265137
2020-04-30,2.7799999713897705
2020-05-04,2.674999952316284
2020-05-05,2.684999942779541
2020-05-06,2.734999895095825
2020-05-07,2.7200000286102295
2020-05-08,2.674999952316284
2020-05-11,2.700000047683716
2020-05-12,2.7200000286102295
2020-05-13,2.7699999809265137
2020-05-14,2.799999952316284
2020-05-15,2.809999942779541
2020-05-18,2.815000057220459
2020-05-20,2.9000000953674316
2020-05-21,2.8299999237060547
2020-05-22,2.8299999237060547
2020-05-27,2.8550000190734863
2020-05-28,2.799999952316284
2020-05-29,2.809999942779541
2020-06-01,2.875
2020-06-02,2.8550000190734863
2020-06-03,2.859999895095825
2020-06-04,2.869999885559082
2020-06-05,2.9100000858306885
2020-06-08,2.9200000762939453
2020-06-09,2.9049999713897705
2020-06-10,2.924999952316284
2020-06-11,2.9100000858306885
2020-06-12,2.9200000762939453
2020-06-15,2.8949999809265137
2020-06-16,2.9749999046325684
2020-06-17,2.984999895095825
2020-06-18,2.994999885559082
2020-06-19,2.994999885559082
2020-06-22,3.0299999713897705
2020-06-23,3.140000104904175
2020-06-24,3.180000066757202
2020-06-25,3.1500000953674316
2020-06-26,3.450000047683716
2020-06-29,3.505000114440918
2020-06-30,3.424999952316284
2020-07-01,3.3949999809265137
2020-07-02,3.4749999046325684
2020-07-03,3.4749999046325684
2020-07-06,3.4800000190734863
2020-07-07,3.450000047683716
2020-07-08,3.700000047683716
2020-07-09,3.575000047683716
2020-07-10,3.575000047683716
2020-07-13,3.615000009536743
2020-07-14,3.5299999713897705
2020-07-16,3.5250000953674316
2020-07-17,3.4800000190734863
2020-07-20,3.549999952316284
2020-07-21,3.700000047683716
2020-07-22,3.6649999618530273
2020-07-23,3.625
2020-07-24,3.5899999141693115
2020-07-27,3.5999999046325684
2020-07-28,3.430000066757202
2020-07-29,3.380000114440918
2020-07-30,3.4049999713897705
2020-08-04,3.2100000381469727
2020-08-05,3.2750000953674316
2020-08-06,3.259999990463257
2020-08-07,3.299999952316284
2020-08-10,3.365000009536743
2020-08-11,3.390000104904175
2020-08-12,3.4600000381469727
2020-08-13,3.4200000762939453
2020-08-14,3.505000114440918
2020-08-17,3.509999990463257
2020-08-18,3.547499895095825
2020-08-19,3.509999990463257
2020-08-20,3.4200000762939453
2020-08-21,3.3450000286102295
2020-08-24,3.359999895095825
2020-08-25,3.382499933242798
2020-08-26,3.4649999141693115
2020-08-27,3.442500114440918
2020-08-28,3.509999990463257
2020-08-31,3.4200000762939453
2020-09-01,3.4725000858306885
2020-09-02,3.502500057220459
2020-09-03,3.442500114440918
2020-09-04,3.509999990463257
2020-09-07,3.6075000762939453
2020-09-08,3.569999933242798
2020-09-09,3.615000009536743
2020-09-10,3.75
2020-09-11,3.75
2020-09-14,3.869999885559082
2020-09-15,3.802500009536743
2020-09-16,3.7874999046325684
2020-09-17,4.170000076293945
2020-09-18,4.409999847412109
2020-09-21,4.267499923706055
2020-09-22,4.545000076293945
2020-09-23,5.002500057220459
2020-09-24,4.927499771118164
