Date,HEDEF.IS
2021-10-22,2.1500000953674316
2021-10-25,2.359999895095825
2021-10-26,2.5899999141693115
2021-10-27,2.8399999141693115
2021-10-28,3.119999885559082
2021-11-01,3.430000066757202
2021-11-02,3.7699999809265137
2021-11-03,3.4000000953674316
2021-11-04,3.5899999141693115
2021-11-05,3.619999885559082
2021-11-08,3.5999999046325684
2021-11-09,3.4200000762939453
2021-11-10,3.3499999046325684
2021-11-11,3.2300000190734863
2021-11-12,3.549999952316284
2021-11-15,3.5899999141693115
2021-11-16,3.440000057220459
2021-11-17,3.690000057220459
2021-11-18,3.6500000953674316
2021-11-19,3.640000104904175
2021-11-22,3.6500000953674316
2021-11-23,3.549999952316284
2021-11-24,3.549999952316284
2021-11-25,3.5199999809265137
2021-11-26,3.450000047683716
2021-11-29,3.490000009536743
2021-11-30,3.5299999713897705
2021-12-01,3.549999952316284
2021-12-02,3.619999885559082
2021-12-03,3.8499999046325684
2021-12-06,4.050000190734863
2021-12-07,4.449999809265137
2021-12-08,4.889999866485596
2021-12-09,4.900000095367432
2021-12-10,5.389999866485596
2021-12-13,5.920000076293945
2021-12-14,6.510000228881836
2021-12-15,6.840000152587891
2021-12-16,6.159999847412109
2021-12-17,5.550000190734863
2021-12-20,5.070000171661377
2021-12-21,5.130000114440918
2021-12-22,5.639999866485596
2021-12-23,6.019999980926514
2021-12-24,5.789999961853027
2021-12-27,5.710000038146973
2021-12-28,6.28000020980835
2021-12-29,6.21999979019165
2021-12-30,6.130000114440918
2021-12-31,6.090000152587891
2022-01-03,6.230000019073486
2022-01-04,6.110000133514404
2022-01-05,6.269999980926514
2022-01-06,6.099999904632568
2022-01-07,6.03000020980835
2022-01-10,5.909999847412109
2022-01-11,5.929999828338623
2022-01-12,5.909999847412109
2022-01-13,6.170000076293945
2022-01-14,6.050000190734863
2022-01-17,5.940000057220459
2022-01-18,5.739999771118164
2022-01-19,5.78000020980835
2022-01-20,5.610000133514404
2022-01-21,5.539999961853027
2022-01-24,5.28000020980835
2022-01-25,5.409999847412109
2022-01-26,5.360000133514404
2022-01-27,5.420000076293945
2022-01-28,5.960000038146973
2022-01-31,6.079999923706055
2022-02-01,5.880000114440918
2022-02-02,5.960000038146973
2022-02-03,5.869999885559082
2022-02-04,5.710000038146973
2022-02-07,5.739999771118164
2022-02-08,5.679999828338623
2022-02-09,5.630000114440918
2022-02-10,5.590000152587891
2022-02-11,5.5
2022-02-14,5.440000057220459
2022-02-15,5.519999980926514
2022-02-16,5.590000152587891
2022-02-17,5.5
2022-02-18,5.449999809265137
2022-02-21,5.369999885559082
2022-02-22,5.429999828338623
2022-02-23,5.460000038146973
2022-02-24,4.920000076293945
2022-02-25,5.170000076293945
2022-02-28,5.039999961853027
2022-03-01,5.110000133514404
2022-03-02,5.110000133514404
2022-03-03,5.199999809265137
2022-03-04,5.179999828338623
2022-03-07,5.070000171661377
2022-03-08,5.090000152587891
2022-03-09,5.139999866485596
2022-03-10,5.28000020980835
2022-03-11,5.179999828338623
2022-03-14,5.179999828338623
2022-03-15,5.289999961853027
2022-03-16,5.25
2022-03-17,5.590000152587891
2022-03-18,5.449999809265137
2022-03-21,5.630000114440918
2022-03-22,5.579999923706055
2022-03-23,5.71999979019165
2022-03-24,5.630000114440918
2022-03-25,5.630000114440918
2022-03-28,5.71999979019165
2022-03-29,5.710000038146973
2022-03-30,5.579999923706055
2022-03-31,5.570000171661377
2022-04-01,5.489999771118164
2022-04-04,5.480000019073486
2022-04-05,5.53000020980835
2022-04-06,5.570000171661377
2022-04-07,5.699999809265137
2022-04-08,5.829999923706055
2022-04-11,6.139999866485596
2022-04-12,6.0
2022-04-13,6.010000228881836
2022-04-14,6.039999961853027
2022-04-15,6.039999961853027
2022-04-18,6.150000095367432
2022-04-19,6.019999980926514
2022-04-20,6.139999866485596
2022-04-21,6.059999942779541
2022-04-22,5.800000190734863
2022-04-25,5.659999847412109
2022-04-26,5.510000228881836
2022-04-27,5.429999828338623
2022-04-28,5.480000019073486
2022-04-29,5.429999828338623
2022-05-05,5.579999923706055
2022-05-06,5.480000019073486
2022-05-09,5.46999979019165
2022-05-10,5.46999979019165
2022-05-11,5.360000133514404
2022-05-12,5.309999942779541
2022-05-13,5.340000152587891
2022-05-16,5.269999980926514
2022-05-17,5.28000020980835
2022-05-18,5.170000076293945
2022-05-20,5.110000133514404
2022-05-23,5.170000076293945
2022-05-24,5.130000114440918
2022-05-25,5.639999866485596
2022-05-26,5.460000038146973
2022-05-27,5.539999961853027
2022-05-30,5.630000114440918
2022-05-31,5.610000133514404
2022-06-01,5.730000019073486
2022-06-02,6.300000190734863
2022-06-03,6.929999828338623
2022-06-06,6.710000038146973
2022-06-07,6.559999942779541
2022-06-08,6.46999979019165
2022-06-09,6.53000020980835
2022-06-10,6.730000019073486
2022-06-13,6.550000190734863
2022-06-14,7.150000095367432
2022-06-15,7.159999847412109
2022-06-16,6.869999885559082
2022-06-17,6.900000095367432
2022-06-20,6.820000171661377
2022-06-21,7.050000190734863
2022-06-22,7.099999904632568
2022-06-23,7.03000020980835
2022-06-24,7.0
2022-06-27,7.119999885559082
2022-06-28,7.010000228881836
2022-06-29,6.769999980926514
2022-06-30,6.590000152587891
2022-07-01,6.699999809265137
2022-07-04,6.559999942779541
2022-07-05,6.389999866485596
2022-07-06,6.460000038146973
2022-07-07,6.550000190734863
2022-07-08,6.550000190734863
2022-07-13,6.599999904632568
2022-07-14,6.619999885559082
2022-07-18,6.989999771118164
2022-07-19,6.829999923706055
2022-07-20,7.510000228881836
