Date,ARENA.IS
2020-01-02,2.640000104904175
2020-01-03,2.969599962234497
2020-01-06,2.992000102996826
2020-01-07,2.9504001140594482
2020-01-08,2.8703999519348145
2020-01-09,3.0432000160217285
2020-01-10,3.014400005340576
2020-01-13,3.033600091934204
2020-01-14,3.0271999835968018
2020-01-15,3.0271999835968018
2020-01-16,3.075200080871582
2020-01-17,3.180799961090088
2020-01-20,3.1328001022338867
2020-01-21,3.2416000366210938
2020-01-22,3.251199960708618
2020-01-23,3.2799999713897705
2020-01-24,3.247999906539917
2020-01-27,3.3631999492645264
2020-01-28,3.5615999698638916
2020-01-29,3.247999906539917
2020-01-30,3.0624001026153564
2020-01-31,3.100800037384033
2020-02-03,3.1679999828338623
2020-02-04,3.312000036239624
2020-02-05,3.331199884414673
2020-02-06,3.5167999267578125
2020-02-07,4.169600009918213
2020-02-10,3.785599946975708
2020-02-11,3.958400011062622
2020-02-12,3.9423999786376953
2020-02-13,3.8431999683380127
2020-02-14,3.74399995803833
2020-02-17,3.8399999141693115
2020-02-18,3.7760000228881836
2020-02-19,3.7344000339508057
2020-02-20,3.292799949645996
2020-02-21,3.4560000896453857
2020-02-24,3.5167999267578125
2020-02-25,3.552000045776367
2020-02-26,3.593600034713745
2020-02-27,3.3215999603271484
2020-02-28,3.315200090408325
2020-03-02,3.44320011138916
2020-03-03,3.7119998931884766
2020-03-04,3.568000078201294
2020-03-05,3.5999999046325684
2020-03-06,3.5199999809265137
2020-03-09,3.0815999507904053
2020-03-10,3.036799907684326
2020-03-11,3.036799907684326
2020-03-12,2.431999921798706
2020-03-13,2.668800115585327
2020-03-16,2.51200008392334
2020-03-17,2.428800106048584
2020-03-18,2.3968000411987305
2020-03-19,2.428800106048584
2020-03-20,2.5536000728607178
2020-03-23,2.752000093460083
2020-03-24,3.030400037765503
2020-03-25,3.100800037384033
2020-03-26,3.206399917602539
2020-03-27,2.966399908065796
2020-03-30,3.0208001136779785
2020-03-31,3.0624001026153564
2020-04-01,2.985599994659424
2020-04-02,2.969599962234497
2020-04-03,3.113600015640259
2020-04-06,3.2992000579833984
2020-04-07,3.315200090408325
2020-04-08,3.5840001106262207
2020-04-09,3.72160005569458
2020-04-10,3.654400110244751
2020-04-13,3.696000099182129
2020-04-14,3.6256000995635986
2020-04-15,3.503999948501587
2020-04-16,3.5808000564575195
2020-04-17,3.657599925994873
2020-04-20,3.6735999584198
2020-04-21,3.654400110244751
2020-04-22,3.8143999576568604
2020-04-24,3.9456000328063965
2020-04-27,4.303999900817871
2020-04-28,4.239999771118164
2020-04-29,4.5920000076293945
2020-04-30,4.486400127410889
2020-05-04,4.288000106811523
2020-05-05,4.515200138092041
2020-05-06,4.5279998779296875
2020-05-07,4.729599952697754
2020-05-08,4.97599983215332
2020-05-11,4.8256001472473145
2020-05-12,4.97599983215332
2020-05-13,4.918399810791016
2020-05-14,4.838399887084961
2020-05-15,4.841599941253662
2020-05-18,4.88640022277832
2020-05-20,4.860799789428711
2020-05-21,4.927999973297119
2020-05-22,4.867199897766113
2020-05-27,4.921599864959717
2020-05-28,4.97599983215332
2020-05-29,5.11359977722168
2020-06-01,4.995200157165527
2020-06-02,4.9344000816345215
2020-06-03,4.889599800109863
2020-06-04,4.873600006103516
2020-06-05,4.876800060272217
2020-06-08,4.838399887084961
2020-06-09,4.681600093841553
2020-06-10,4.688000202178955
2020-06-11,4.828800201416016
2020-06-12,4.74560022354126
2020-06-15,4.617599964141846
2020-06-16,4.681600093841553
2020-06-17,4.6367998123168945
2020-06-18,4.55679988861084
2020-06-19,4.428800106048584
2020-06-22,4.409599781036377
2020-06-23,4.572800159454346
2020-06-24,4.544000148773193
2020-06-25,4.451200008392334
2020-06-26,4.486400127410889
2020-06-29,4.51200008392334
2020-06-30,4.521599769592285
2020-07-01,4.473599910736084
2020-07-02,4.5920000076293945
2020-07-03,4.828800201416016
2020-07-06,5.097599983215332
2020-07-07,5.04640007019043
2020-07-08,5.276800155639648
2020-07-09,5.136000156402588
2020-07-10,5.296000003814697
2020-07-13,5.484799861907959
2020-07-14,5.4944000244140625
2020-07-16,5.395199775695801
2020-07-17,5.491199970245361
2020-07-20,6.0447998046875
2020-07-21,5.952000141143799
2020-07-22,6.223999977111816
2020-07-23,6.176000118255615
2020-07-24,6.559999942779541
2020-07-27,6.8480000495910645
2020-07-28,6.707200050354004
2020-07-29,7.372799873352051
2020-07-30,7.366399765014648
2020-08-04,7.769599914550781
2020-08-05,7.48799991607666
2020-08-06,6.739200115203857
2020-08-07,7.0015997886657715
