Date,SASA.IS
2020-01-02,2.923527956008911
2020-01-03,2.8753581047058105
2020-01-06,2.790134906768799
2020-01-07,2.853126049041748
2020-01-08,2.7975449562072754
2020-01-09,2.897589921951294
2020-01-10,2.8753581047058105
2020-01-13,3.0346879959106445
2020-01-14,3.045804023742676
2020-01-15,3.0161619186401367
2020-01-16,2.964287042617798
2020-01-17,2.9346439838409424
2020-01-20,2.9828128814697266
2020-01-21,2.964287042617798
2020-01-22,2.960581064224243
2020-01-23,3.082858085632324
2020-01-24,3.001339912414551
2020-01-27,2.95317006111145
2020-01-28,2.9309380054473877
2020-01-29,2.9457600116729736
2020-01-30,2.905000925064087
2020-01-31,3.027277946472168
2020-02-03,2.9976348876953125
2020-02-04,3.0420989990234375
2020-02-05,3.5052690505981445
2020-02-06,3.4274559020996094
2020-02-07,3.3941080570220947
2020-02-10,3.4385719299316406
2020-02-11,3.5645549297332764
2020-02-12,3.538616895675659
2020-02-13,3.8535730838775635
2020-02-14,3.7831709384918213
2020-02-17,3.8128139972686768
2020-02-18,3.77205491065979
2020-02-19,3.7905819416046143
2020-02-20,3.6127240657806396
2020-02-21,3.638662099838257
2020-02-24,3.6127240657806396
2020-02-25,3.631251096725464
2020-02-26,3.649777889251709
2020-02-27,3.3644649982452393
2020-02-28,3.2347779273986816
2020-03-02,3.2718310356140137
2020-03-03,3.368170976638794
2020-03-04,3.2607150077819824
2020-03-05,3.2755370140075684
2020-03-06,3.1199119091033936
2020-03-09,2.842010021209717
2020-03-10,2.6382150650024414
2020-03-11,2.6382150650024414
2020-03-12,2.20468807220459
2020-03-13,2.3788399696350098
2020-03-16,2.152812957763672
2020-03-17,1.9749560356140137
2020-03-18,1.9379019737243652
2020-03-19,1.9008489847183228
2020-03-20,1.926785945892334
2020-03-23,1.8452680110931396
2020-03-24,2.023124933242798
2020-03-25,2.223215103149414
2020-03-26,2.445535898208618
2020-03-27,2.6900899410247803
2020-03-30,2.956876039505005
2020-03-31,3.249598979949951
2020-04-01,2.9272329807281494
2020-04-02,2.842010021209717
2020-04-03,3.1199119091033936
2020-04-06,3.431162118911743
2020-04-07,3.3385279178619385
2020-04-08,3.368170976638794
2020-04-09,3.360759973526001
2020-04-10,3.297769069671631
2020-04-13,3.2718310356140137
2020-04-14,3.290358066558838
2020-04-15,3.123616933822632
2020-04-16,3.0939741134643555
2020-04-17,3.142143964767456
2020-04-20,3.1384379863739014
2020-04-21,3.079153060913086
2020-04-22,3.2236618995666504
2020-04-24,3.2866530418395996
2020-04-27,3.345937967300415
2020-04-28,3.257009983062744
2020-04-29,3.290358066558838
2020-04-30,3.2347779273986816
2020-05-04,3.142143964767456
2020-05-05,3.2681260108947754
2020-05-06,3.3237059116363525
2020-05-07,3.468214988708496
2020-05-08,3.475625991821289
2020-05-11,3.3422329425811768
2020-05-12,3.297769069671631
2020-05-13,3.368170976638794
2020-05-14,3.42375111579895
2020-05-15,3.757232904434204
2020-05-18,3.797991991043091
2020-05-20,3.7868759632110596
2020-05-21,3.6905369758605957
2020-05-22,3.720180034637451
2020-05-27,3.746117115020752
2020-05-28,3.872098922729492
2020-05-29,3.7905819416046143
2020-06-01,3.797991991043091
2020-06-02,3.823930025100708
2020-06-03,3.8387510776519775
2020-06-04,3.7757599353790283
2020-06-05,3.764643907546997
2020-06-08,3.720180034637451
2020-06-09,3.7424120903015137
2020-06-10,3.8535730838775635
2020-06-11,3.8535730838775635
2020-06-12,3.823930025100708
2020-06-15,3.9721438884735107
2020-06-16,3.998081922531128
2020-06-17,3.938796043395996
2020-06-18,4.0203142166137695
2020-06-19,4.0388407707214355
2020-06-22,3.9943759441375732
2020-06-23,3.975848913192749
2020-06-24,3.912858009338379
2020-06-25,3.9943759441375732
2020-06-26,4.001787185668945
2020-06-29,3.990670919418335
2020-06-30,4.001787185668945
2020-07-01,4.053661823272705
2020-07-02,4.2389302253723145
2020-07-03,4.209287166595459
2020-07-06,4.2315192222595215
2020-07-07,4.290804862976074
2020-07-08,4.2241082191467285
2020-07-09,4.02401876449585
2020-07-10,4.049956798553467
2020-07-13,4.383439064025879
2020-07-14,4.431609153747559
2020-07-16,4.8614301681518555
2020-07-17,5.168974876403809
2020-07-20,5.239377021789551
2020-07-21,5.076341152191162
2020-07-22,4.998528003692627
2020-07-23,5.031877040863037
2020-07-24,5.061520099639893
2020-07-27,5.294957160949707
2020-07-28,5.039287090301514
2020-07-29,4.987411975860596
2020-07-30,5.013350009918213
2020-08-04,4.846609115600586
2020-08-05,4.679868221282959
2020-08-06,4.212992191314697
2020-08-07,4.620582103729248
2020-08-10,4.894777774810791
2020-08-11,4.935536861419678
2020-08-12,4.998528003692627
2020-08-13,4.876252174377441
2020-08-14,4.86513614654541
2020-08-17,4.828082084655762
2020-08-18,4.998528003692627
2020-08-19,5.246788024902344
2020-08-20,5.224555015563965
2020-08-21,5.3950018882751465
2020-08-24,5.498752117156982
2020-08-25,5.932279109954834
2020-08-26,5.632144927978516
2020-08-27,5.9026360511779785
2020-08-28,5.798885822296143
2020-08-31,5.595090866088867
2020-09-01,5.72477912902832
2020-09-02,5.695136070251465
2020-09-03,5.580269813537598
2020-09-04,5.60250186920166
2020-09-07,5.750716209411621
2020-09-08,5.772947788238525
2020-09-09,5.706252098083496
2020-09-10,5.835939884185791
2020-09-11,5.821117877960205
2020-09-14,5.854465961456299
2020-09-15,6.03973388671875
2020-09-16,6.302814960479736
2020-09-17,6.169422149658203
2020-09-18,6.284287929534912
2020-09-21,6.269466876983643
2020-09-22,6.206474781036377
