Date,NETAS.IS
2020-01-02,13.720000267028809
2020-01-03,13.279999732971191
2020-01-06,12.270000457763672
2020-01-07,12.34000015258789
2020-01-08,12.170000076293945
2020-01-09,13.130000114440918
2020-01-10,13.15999984741211
2020-01-13,13.399999618530273
2020-01-14,13.729999542236328
2020-01-15,14.40999984741211
2020-01-16,14.109999656677246
2020-01-17,14.069999694824219
2020-01-20,14.609999656677246
2020-01-21,14.369999885559082
2020-01-22,14.149999618530273
2020-01-23,14.4399995803833
2020-01-24,15.1899995803833
2020-01-27,16.5
2020-01-28,15.899999618530273
2020-01-29,15.0600004196167
2020-01-30,14.4399995803833
2020-01-31,14.84000015258789
2020-02-03,14.8100004196167
2020-02-04,15.420000076293945
2020-02-05,15.479999542236328
2020-02-06,15.229999542236328
2020-02-07,14.970000267028809
2020-02-10,14.489999771118164
2020-02-11,15.460000038146973
2020-02-12,15.859999656677246
2020-02-13,15.670000076293945
2020-02-14,15.90999984741211
2020-02-17,16.200000762939453
2020-02-18,16.030000686645508
2020-02-19,15.600000381469727
2020-02-20,14.239999771118164
2020-02-21,14.390000343322754
2020-02-24,14.0600004196167
2020-02-25,14.739999771118164
2020-02-26,14.739999771118164
2020-02-27,13.850000381469727
2020-02-28,12.979999542236328
2020-03-02,13.600000381469727
2020-03-03,14.100000381469727
2020-03-04,13.819999694824219
2020-03-05,13.880000114440918
2020-03-06,13.880000114440918
2020-03-09,13.119999885559082
2020-03-10,11.970000267028809
2020-03-11,11.970000267028809
2020-03-12,8.449999809265137
2020-03-13,8.949999809265137
2020-03-16,8.010000228881836
2020-03-17,7.78000020980835
2020-03-18,7.920000076293945
2020-03-19,8.029999732971191
2020-03-20,8.430000305175781
2020-03-23,8.75
2020-03-24,9.65999984741211
2020-03-25,10.079999923706055
2020-03-26,10.359999656677246
2020-03-27,10.039999961853027
2020-03-30,9.880000114440918
2020-03-31,10.3100004196167
2020-04-01,10.109999656677246
2020-04-02,10.140000343322754
2020-04-03,10.180000305175781
2020-04-06,10.920000076293945
2020-04-07,10.949999809265137
2020-04-08,11.149999618530273
2020-04-09,11.359999656677246
2020-04-10,11.34000015258789
2020-04-13,11.270000457763672
2020-04-14,11.430000305175781
2020-04-15,10.949999809265137
2020-04-16,10.989999771118164
2020-04-17,11.25
2020-04-20,11.789999961853027
2020-04-21,11.989999771118164
2020-04-22,12.630000114440918
2020-04-24,13.270000457763672
2020-04-27,14.09000015258789
2020-04-28,13.65999984741211
2020-04-29,13.84000015258789
2020-04-30,13.260000228881836
2020-05-04,12.680000305175781
2020-05-05,13.15999984741211
2020-05-06,13.390000343322754
2020-05-07,13.170000076293945
2020-05-08,12.90999984741211
2020-05-11,12.680000305175781
2020-05-12,13.1899995803833
2020-05-13,13.170000076293945
2020-05-14,13.119999885559082
2020-05-15,13.390000343322754
2020-05-18,14.180000305175781
2020-05-20,14.649999618530273
2020-05-21,14.550000190734863
2020-05-22,14.329999923706055
2020-05-27,15.470000267028809
2020-05-28,14.930000305175781
2020-05-29,14.489999771118164
2020-06-01,14.619999885559082
2020-06-02,14.579999923706055
2020-06-03,14.649999618530273
2020-06-04,14.680000305175781
2020-06-05,14.5600004196167
2020-06-08,14.229999542236328
2020-06-09,14.0
2020-06-10,14.109999656677246
2020-06-11,14.15999984741211
2020-06-12,14.109999656677246
2020-06-15,13.720000267028809
2020-06-16,14.199999809265137
2020-06-17,14.390000343322754
2020-06-18,14.630000114440918
2020-06-19,14.350000381469727
2020-06-22,14.229999542236328
2020-06-23,14.170000076293945
2020-06-24,14.210000038146973
2020-06-25,14.140000343322754
2020-06-26,14.140000343322754
2020-06-29,14.390000343322754
2020-06-30,14.520000457763672
2020-07-01,14.399999618530273
2020-07-02,14.800000190734863
2020-07-03,15.65999984741211
2020-07-06,15.970000267028809
2020-07-07,15.640000343322754
2020-07-08,16.079999923706055
2020-07-09,15.539999961853027
2020-07-10,14.859999656677246
2020-07-13,15.569999694824219
2020-07-14,15.859999656677246
2020-07-16,16.459999084472656
2020-07-17,17.65999984741211
2020-07-20,17.18000030517578
2020-07-21,16.8799991607666
2020-07-22,18.280000686645508
2020-07-23,18.219999313354492
2020-07-24,17.850000381469727
2020-07-27,18.100000381469727
2020-07-28,16.75
2020-07-29,16.610000610351562
2020-07-30,16.6299991607666
2020-08-04,15.1899995803833
2020-08-05,14.899999618530273
2020-08-06,13.479999542236328
2020-08-07,14.380000114440918
2020-08-10,14.680000305175781
2020-08-11,14.930000305175781
2020-08-12,15.0
2020-08-13,14.550000190734863
2020-08-14,15.880000114440918
2020-08-17,15.399999618530273
2020-08-18,15.180000305175781
2020-08-19,15.34000015258789
2020-08-20,15.5
2020-08-21,15.039999961853027
2020-08-24,15.15999984741211
2020-08-25,14.850000381469727
2020-08-26,15.329999923706055
2020-08-27,15.260000228881836
2020-08-28,15.220000267028809
2020-08-31,15.630000114440918
2020-09-01,16.040000915527344
2020-09-02,15.869999885559082
2020-09-03,15.550000190734863
2020-09-04,15.489999771118164
2020-09-07,15.970000267028809
2020-09-08,16.200000762939453
2020-09-09,16.260000228881836
2020-09-10,16.25
2020-09-11,15.979999542236328
2020-09-14,15.899999618530273
2020-09-15,15.880000114440918
2020-09-16,15.699999809265137
2020-09-17,15.819999694824219
2020-09-18,16.049999237060547
2020-09-21,16.149999618530273
2020-09-22,16.530000686645508
2020-09-23,17.329999923706055
2020-09-24,16.899999618530273
2020-09-25,16.860000610351562
2020-09-28,17.34000015258789
2020-09-29,18.030000686645508
2020-09-30,19.3700008392334
2020-10-01,19.889999389648438
