Date,GWIND.IS
2022-04-04,6.869999885559082
2022-04-05,6.820000171661377
2022-04-06,7.210000038146973
2022-04-07,7.179999828338623
2022-04-08,7.349999904632568
2022-04-11,7.300000190734863
2022-04-13,7.099999904632568
2022-04-14,7.159999847412109
2022-04-15,7.099999904632568
2022-04-18,7.320000171661377
2022-04-19,7.409999847412109
2022-04-20,7.46999979019165
2022-04-21,7.46999979019165
2022-04-22,7.199999809265137
2022-04-25,7.119999885559082
2022-04-26,7.090000152587891
2022-04-27,7.130000114440918
2022-04-28,7.480000019073486
2022-04-29,7.53000020980835
2022-05-05,7.329999923706055
2022-05-06,7.429999828338623
2022-05-09,7.489999771118164
2022-05-10,7.599999904632568
2022-05-11,7.130000114440918
2022-05-12,7.03000020980835
2022-05-13,7.110000133514404
2022-05-16,6.980000019073486
2022-05-17,6.929999828338623
2022-05-18,6.800000190734863
2022-05-20,6.809999942779541
2022-05-23,6.900000095367432
2022-05-24,6.900000095367432
2022-05-25,7.150000095367432
2022-05-26,6.900000095367432
2022-05-27,6.909999847412109
2022-05-30,6.989999771118164
2022-05-31,7.070000171661377
2022-06-01,7.170000076293945
2022-06-02,7.170000076293945
2022-06-03,7.269999980926514
2022-06-06,7.389999866485596
2022-06-07,7.340000152587891
2022-06-08,7.019999980926514
2022-06-09,7.28000020980835
2022-06-10,7.150000095367432
2022-06-13,7.210000038146973
2022-06-14,7.199999809265137
2022-06-15,7.340000152587891
2022-06-16,7.210000038146973
2022-06-17,7.769999980926514
2022-06-20,8.029999732971191
2022-06-21,8.319999694824219
2022-06-22,8.460000038146973
2022-06-23,8.300000190734863
2022-06-24,8.3100004196167
2022-06-27,8.1899995803833
2022-06-28,8.050000190734863
2022-06-29,7.880000114440918
2022-06-30,7.940000057220459
2022-07-01,8.0600004196167
2022-07-04,7.920000076293945
2022-07-05,7.900000095367432
2022-07-06,7.929999828338623
2022-07-07,8.34000015258789
2022-07-08,8.390000343322754
2022-07-13,8.90999984741211
2022-07-14,8.829999923706055
2022-07-18,9.130000114440918
2022-07-19,9.119999885559082
2022-07-20,8.920000076293945
2022-07-21,8.949999809265137
2022-07-22,9.350000381469727
2022-07-25,9.65999984741211
2022-07-26,9.680000305175781
2022-07-27,10.010000228881836
2022-07-28,9.989999771118164
2022-07-29,10.229999542236328
