Date,CANTE.IS
2021-04-30,4.289999961853027
2021-05-03,4.710000038146973
2021-05-04,5.179999828338623
2021-05-05,4.670000076293945
2021-05-06,4.400000095367432
2021-05-07,4.630000114440918
2021-05-10,5.090000152587891
2021-05-11,5.590000152587891
2021-05-12,6.139999866485596
2021-05-17,6.75
2021-05-18,6.619999885559082
2021-05-20,6.960000038146973
2021-05-21,7.190000057220459
2021-05-24,7.099999904632568
2021-05-25,7.570000171661377
2021-05-26,8.319999694824219
2021-05-27,8.100000381469727
2021-05-28,8.600000381469727
2021-05-31,8.65999984741211
2021-06-01,8.800000190734863
2021-06-02,8.479999542236328
2021-06-03,7.989999771118164
2021-06-04,7.539999961853027
2021-06-07,7.78000020980835
2021-06-08,7.559999942779541
2021-06-09,7.619999885559082
2021-06-10,7.489999771118164
2021-06-11,7.449999809265137
2021-06-14,7.28000020980835
2021-06-15,7.809999942779541
2021-06-16,7.619999885559082
2021-06-17,7.5
2021-06-18,7.579999923706055
2021-06-21,7.610000133514404
2021-06-22,7.5
2021-06-23,7.920000076293945
2021-06-24,8.119999885559082
2021-06-25,8.180000305175781
2021-06-28,8.649999618530273
2021-06-29,9.510000228881836
2021-06-30,9.600000381469727
2021-07-01,9.220000267028809
2021-07-02,9.550000190734863
2021-07-05,9.550000190734863
2021-07-06,9.699999809265137
2021-07-07,10.130000114440918
2021-07-08,10.199999809265137
2021-07-09,10.5600004196167
2021-07-12,10.779999732971191
2021-07-13,10.789999961853027
2021-07-14,10.779999732971191
2021-07-16,10.819999694824219
2021-07-19,10.699999809265137
2021-07-26,10.550000190734863
2021-07-27,10.40999984741211
2021-07-28,10.430000305175781
2021-07-29,10.899999618530273
2021-07-30,10.729999542236328
2021-08-02,10.510000228881836
2021-08-03,10.6899995803833
2021-08-04,11.039999961853027
2021-08-05,10.720000267028809
2021-08-06,10.899999618530273
2021-08-09,11.989999771118164
2021-08-10,11.90999984741211
2021-08-11,11.899999618530273
2021-08-12,11.920000076293945
2021-08-13,11.9399995803833
2021-08-16,12.0
2021-08-17,12.020000457763672
2021-08-18,12.039999961853027
2021-08-19,12.100000381469727
2021-08-20,12.399999618530273
2021-08-23,12.619999885559082
2021-08-24,12.75
2021-08-25,12.789999961853027
2021-08-26,14.0600004196167
2021-08-27,13.770000457763672
2021-08-31,13.829999923706055
2021-09-01,13.850000381469727
2021-09-02,13.899999618530273
2021-09-03,13.800000190734863
2021-09-06,13.369999885559082
2021-09-07,12.899999618530273
2021-09-08,12.75
2021-09-09,12.710000038146973
2021-09-10,12.90999984741211
2021-09-13,12.84000015258789
2021-09-14,13.100000381469727
2021-09-15,12.699999809265137
2021-09-16,12.800000190734863
2021-09-17,12.65999984741211
2021-09-20,12.609999656677246
2021-09-21,12.550000190734863
2021-09-22,12.399999618530273
2021-09-23,12.489999771118164
2021-09-24,12.699999809265137
2021-09-27,12.850000381469727
2021-09-28,12.920000076293945
2021-09-29,13.199999809265137
2021-09-30,13.800000190734863
2021-10-01,13.84000015258789
2021-10-04,14.0
2021-10-05,14.010000228881836
2021-10-06,14.399999618530273
2021-10-07,14.5
2021-10-08,14.4399995803833
2021-10-11,14.199999809265137
2021-10-12,14.470000267028809
2021-10-13,14.25
2021-10-14,14.260000228881836
2021-10-15,14.34000015258789
2021-10-18,14.5
2021-10-19,14.710000038146973
2021-10-20,14.720000267028809
2021-10-21,14.5600004196167
2021-10-22,14.699999809265137
2021-10-25,14.550000190734863
2021-10-26,14.489999771118164
2021-10-27,14.550000190734863
2021-10-28,14.579999923706055
2021-11-01,14.850000381469727
2021-11-02,14.350000381469727
2021-11-03,13.0
2021-11-04,11.699999809265137
2021-11-05,12.15999984741211
2021-11-08,12.640000343322754
2021-11-09,12.039999961853027
2021-11-10,11.579999923706055
2021-11-11,11.40999984741211
2021-11-12,11.640000343322754
2021-11-15,11.430000305175781
2021-11-16,11.430000305175781
2021-11-17,11.779999732971191
2021-11-18,11.65999984741211
2021-11-19,11.729999542236328
2021-11-22,11.729999542236328
2021-11-23,11.279999732971191
2021-11-24,11.550000190734863
2021-11-25,11.510000228881836
2021-11-26,11.630000114440918
2021-11-29,12.0600004196167
2021-11-30,11.989999771118164
2021-12-01,11.949999809265137
2021-12-02,11.970000267028809
2021-12-03,12.399999618530273
2021-12-06,12.430000305175781
2021-12-07,12.449999809265137
2021-12-08,12.649999618530273
2021-12-09,12.720000267028809
2021-12-10,12.5600004196167
2021-12-13,12.510000228881836
2021-12-14,12.770000457763672
2021-12-15,12.539999961853027
2021-12-16,12.609999656677246
2021-12-17,11.350000381469727
2021-12-20,10.579999923706055
2021-12-21,10.380000114440918
2021-12-22,10.550000190734863
2021-12-23,10.949999809265137
2021-12-24,11.149999618530273
2021-12-27,11.899999618530273
2021-12-28,12.199999809265137
2021-12-29,12.529999732971191
2021-12-30,12.850000381469727
2021-12-31,12.75
2022-01-03,12.75
2022-01-04,12.800000190734863
2022-01-05,13.050000190734863
2022-01-06,13.050000190734863
2022-01-07,13.470000267028809
2022-01-10,14.029999732971191
2022-01-11,14.050000190734863
2022-01-12,14.100000381469727
2022-01-13,14.359999656677246
2022-01-14,14.800000190734863
2022-01-17,14.899999618530273
2022-01-18,15.239999771118164
2022-01-19,16.399999618530273
2022-01-20,16.270000457763672
2022-01-21,17.34000015258789
2022-01-24,17.360000610351562
2022-01-25,17.0
2022-01-26,17.200000762939453
2022-01-27,17.5
2022-01-28,17.700000762939453
2022-01-31,17.920000076293945
2022-02-01,18.229999542236328
2022-02-02,18.0
2022-02-03,17.93000030517578
