Date,ASELS.IS
2020-01-02,10.789999961853027
2020-01-03,10.890000343322754
2020-01-06,11.039999961853027
2020-01-07,11.210000038146973
2020-01-08,11.140000343322754
2020-01-09,11.430000305175781
2020-01-10,11.350000381469727
2020-01-13,11.449999809265137
2020-01-14,11.640000343322754
2020-01-15,11.489999771118164
2020-01-16,11.449999809265137
2020-01-17,11.449999809265137
2020-01-20,11.539999961853027
2020-01-21,11.550000190734863
2020-01-22,11.539999961853027
2020-01-23,11.430000305175781
2020-01-24,11.460000038146973
2020-01-27,11.670000076293945
2020-01-28,11.630000114440918
2020-01-29,11.649999618530273
2020-01-30,11.829999923706055
2020-01-31,11.760000228881836
2020-02-03,11.6899995803833
2020-02-04,12.289999961853027
2020-02-05,12.1899995803833
2020-02-06,12.199999809265137
2020-02-07,12.210000038146973
2020-02-10,12.050000190734863
2020-02-11,12.380000114440918
2020-02-12,13.979999542236328
2020-02-13,14.109999656677246
2020-02-14,14.539999961853027
2020-02-17,14.430000305175781
2020-02-18,14.59000015258789
2020-02-19,14.90999984741211
2020-02-20,14.170000076293945
2020-02-21,14.430000305175781
2020-02-24,14.3100004196167
2020-02-25,14.529999732971191
2020-02-26,14.5
2020-02-27,14.050000190734863
2020-02-28,13.829999923706055
2020-03-02,14.119999885559082
2020-03-03,15.180000305175781
2020-03-04,14.90999984741211
2020-03-05,15.180000305175781
2020-03-06,14.90999984741211
2020-03-09,13.859999656677246
2020-03-10,13.029999732971191
2020-03-11,13.029999732971191
2020-03-12,12.210000038146973
2020-03-13,12.710000038146973
2020-03-16,11.460000038146973
2020-03-17,10.9399995803833
2020-03-18,10.920000076293945
2020-03-19,10.539999961853027
2020-03-20,10.65999984741211
2020-03-23,10.390000343322754
2020-03-24,11.420000076293945
2020-03-25,11.710000038146973
2020-03-26,12.109999656677246
2020-03-27,11.529999732971191
2020-03-30,11.619999885559082
2020-03-31,11.800000190734863
2020-04-01,11.4399995803833
2020-04-02,11.550000190734863
2020-04-03,11.630000114440918
2020-04-06,11.880000114440918
2020-04-07,12.199999809265137
2020-04-08,12.460000038146973
2020-04-09,12.609999656677246
2020-04-10,12.569999694824219
2020-04-13,12.470000267028809
2020-04-14,13.640000343322754
2020-04-15,13.130000114440918
2020-04-16,13.369999885559082
2020-04-17,13.5600004196167
2020-04-20,13.699999809265137
2020-04-21,13.479999542236328
2020-04-22,13.420000076293945
2020-04-24,13.319999694824219
2020-04-27,13.739999771118164
2020-04-28,13.65999984741211
2020-04-29,13.720000267028809
2020-04-30,13.59000015258789
2020-05-04,13.229999542236328
2020-05-05,13.529999732971191
2020-05-06,13.4399995803833
2020-05-07,13.449999809265137
2020-05-08,13.260000228881836
2020-05-11,13.399999618530273
2020-05-12,13.729999542236328
2020-05-13,14.359999656677246
2020-05-14,14.59000015258789
2020-05-15,14.449999809265137
2020-05-18,14.619999885559082
2020-05-20,14.729999542236328
2020-05-21,14.760000228881836
2020-05-22,14.649999618530273
2020-05-27,15.029999732971191
2020-05-28,15.050000190734863
2020-05-29,15.09000015258789
2020-06-01,15.930000305175781
2020-06-02,16.309999465942383
2020-06-03,15.899999618530273
2020-06-04,15.84000015258789
2020-06-05,15.949999809265137
2020-06-08,15.789999961853027
2020-06-09,15.8100004196167
2020-06-10,16.110000610351562
2020-06-11,16.1299991607666
2020-06-12,16.079999923706055
2020-06-15,16.0
2020-06-16,16.25
2020-06-17,15.960000038146973
2020-06-18,16.299999237060547
2020-06-19,16.290000915527344
2020-06-22,16.190000534057617
2020-06-23,16.110000610351562
2020-06-24,15.75
2020-06-25,15.699999809265137
2020-06-26,15.739999771118164
2020-06-29,16.059999465942383
2020-06-30,16.25
2020-07-01,16.3700008392334
2020-07-02,16.440000534057617
2020-07-03,16.149999618530273
2020-07-06,16.25
2020-07-07,16.290000915527344
2020-07-08,16.200000762939453
2020-07-09,15.989999771118164
2020-07-10,15.880000114440918
2020-07-13,16.170000076293945
2020-07-14,16.049999237060547
2020-07-16,16.559999465942383
2020-07-17,16.280000686645508
2020-07-20,16.579999923706055
2020-07-21,16.25
2020-07-22,16.8700008392334
2020-07-23,17.59000015258789
2020-07-24,17.549999237060547
2020-07-27,18.81999969482422
2020-07-28,18.34000015258789
2020-07-29,17.639999389648438
2020-07-30,17.6299991607666
2020-08-04,17.200000762939453
2020-08-05,16.920000076293945
2020-08-06,15.279999732971191
2020-08-07,16.790000915527344
2020-08-10,18.010000228881836
2020-08-11,18.1299991607666
2020-08-12,17.700000762939453
2020-08-13,17.600000381469727
2020-08-14,17.209999084472656
2020-08-17,17.8799991607666
2020-08-18,17.709999084472656
2020-08-19,17.889999389648438
2020-08-20,17.690000534057617
2020-08-21,17.350000381469727
2020-08-24,17.200000762939453
2020-08-25,16.780000686645508
2020-08-26,16.969999313354492
2020-08-27,16.93000030517578
2020-08-28,16.739999771118164
2020-08-31,16.270000457763672
2020-09-01,16.799999237060547
2020-09-02,16.6200008392334
2020-09-03,16.979999542236328
2020-09-04,16.8700008392334
2020-09-07,16.889999389648438
2020-09-08,16.670000076293945
2020-09-09,16.559999465942383
2020-09-10,16.600000381469727
2020-09-11,16.6200008392334
2020-09-14,16.719999313354492
2020-09-15,16.709999084472656
2020-09-16,16.65999984741211
2020-09-17,16.6299991607666
2020-09-18,16.6299991607666
2020-09-21,16.190000534057617
2020-09-22,16.290000915527344
2020-09-23,16.40999984741211
2020-09-24,16.969999313354492
2020-09-25,17.25
2020-09-28,17.479999542236328
2020-09-29,18.59000015258789
2020-09-30,19.459999084472656
2020-10-01,18.559999465942383
